Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Parking,SC.Car_Parking_LSide,SC.2400/4800,SC.Car_Parking_LSide,G2020110,,,,SC.2400/4800,,
Parking,SC.Car_Parking_LSide,SC.2700/4800,SC.Car_Parking_LSide,G2020110,,,,SC.2700/4800,,
Parking,SC.Car_Parking_Side,SC.2700/4800,SC.Car_Parking_Side,G2020110,,,,SC.2700/4800,,
Parking,SC.Car_Parking_Side,SC.2400/4800,SC.Car_Parking_Side,G2020110,,,,SC.2400/4800,,
Parking,SC.Car_Parking_Mid,SC.2400/4800,SC.Car_Parking_Mid,G2020110,,,,SC.2400/4800,,
Parking,SC.Car_Parking_Mid,2700X4800,SC.Car_Parking_Mid,G2020110,,,,2700X4800,,
Parking,SC.MParking_Lot,SC.1000/2500,SC.MParking_Lot,,,,,SC.1000/2500,,
Parking,Handicap Carpark Lot,3600x4800 Hcap,Handicap Carpark Lot,,,,,3600x4800 Hcap,,<By Category>
Parking,Handicap Carpark Lot,3200x4800 Fam,Handicap Carpark Lot,,,,,3200x4800 Fam,,<By Category>
Parking,Vehicle Barrier,Barrier 4000L,Vehicle Barrier,,,,,Barrier 4000L,,
Parking,Vehicle Barrier,Barrier 3700,Vehicle Barrier,,,,,Barrier 3700,,
Parking,Road Mark Arrow,Straight,Road Mark Arrow,,,,,Straight,,
Parking,Road Mark Arrow,Turn,Road Mark Arrow,,,,,Turn,,
Parking,Road Mark Arrow,Road Mark Arrow,Road Mark Arrow,,,,,Road Mark Arrow,,
Parking,Hump,Hump 150x1200mm,Hump,,,,,Hump 150x1200mm,,
Parking,SC.Car_Parking_Parallel,2400X5400,SC.Car_Parking_Parallel,G2020110,,,,2400X5400,,
Parking,SC.Slow_Sign,SC.Slow_Sign,SC.Slow_Sign,,,,,SC.Slow_Sign,,
Walls,Basic Wall,SC.200mm_Hollow_LW_Internal,Basic Wall,,,,,SC.200mm_Hollow_LW_Internal,LWCP_SkimCoat_Internal,
Walls,Basic Wall,SC.100mm_Solid_LW_External,Basic Wall,,,,,SC.100mm_Solid_LW_External,LWCP_SkimCoat_External,
Walls,Basic Wall,RC_300mm_SkimCoat_Internal,Basic Wall,,,,,RC_300mm_SkimCoat_Internal,RC_SkimCoat_Internal,
Walls,Basic Wall,SC.100mm_Hollow_LW_Internal,Basic Wall,,,,,SC.100mm_Hollow_LW_Internal,LWCP_SkimCoat_Internal,
Walls,Basic Wall,RC_400mm_SkimCoat_Internal,Basic Wall,,,,,RC_400mm_SkimCoat_Internal,RC_SkimCoat_Internal,
Walls,Basic Wall,SC.100mm_AAC,Basic Wall,,,,,SC.100mm_AAC,LWCP_SkimCoat_External,
Walls,Basic Wall,SC.200mm_RC_Internal,Basic Wall,,,,,SC.200mm_RC_Internal,RC_SkimCoat_Internal,
Walls,Basic Wall,SC.100mm_RC_Internal,Basic Wall,,,,,SC.100mm_RC_Internal,RC_SkimCoat_Internal,
Walls,Basic Wall,Kerb Stairs,Basic Wall,,,,,Kerb Stairs,Concrete - Precast Concrete,
