Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Framing,LCBC_Concrete-Rectangular Beam1,500Dx600W,LCBC_Concrete-Rectangular Beam1,,,,,500Dx600W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,500Dx600W,LCBC_Concrete-Rectangular Beam1,,,,,500Dx600W,LCBC_Concrete,
Structural Framing,LCBC_Concrete-Rectangular Beam1,675Dx220W,LCBC_Concrete-Rectangular Beam1,,,,,675Dx220W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,675Dx220W,LCBC_Concrete-Rectangular Beam1,,,,,675Dx220W,LCBC_Concrete,
Structural Framing,LCBC_Concrete-Rectangular Beam1,700Dx200W,LCBC_Concrete-Rectangular Beam1,,,,,700Dx200W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,350Dx600W,LCBC_Concrete-Rectangular Beam1,,,,,350Dx600W,LCBC_Concrete,
Structural Framing,LCBC_Concrete-Rectangular Beam1,750Dx200W,LCBC_Concrete-Rectangular Beam1,,,,,750Dx200W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,600Dx200W,LCBC_Concrete-Rectangular Beam1,,,,,600Dx200W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,850/700Dx200W,LCBC_Concrete-Rectangular Beam1,,,,,850/700Dx200W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,825/700Dx200W,LCBC_Concrete-Rectangular Beam1,,,,,825/700Dx200W,ST-CONC,
Structural Framing,STR-Conc-Insitu Beam Nwt,625Dx400W,STR-Conc-Insitu Beam Nwt,,,,Beam Insitu,625Dx400W,Concrete - Insitu Nwt,
Structural Framing,STR-Conc-Insitu Beam Nwt,625Dx300W,STR-Conc-Insitu Beam Nwt,,,,Beam Insitu,625Dx300W,Concrete - Insitu Nwt,
