Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Pipes,,,Pipe Types,,,,,,,
Cable Trays,,,Cable Tray with Fittings,,,,,,,
Cable Tray Fittings,,,M_Channel Horizontal Tee,,,,,,,
Cable Tray Fittings,,,M_Channel Horizontal Bend,,,,,,,
Cable Tray Fittings,,,M_Channel Vertical Outside Bend,,,,,,,
Cable Tray Fittings,,,M_Channel Vertical Inside Bend,,,,,,,
Cable Tray Fittings,,,M_Ladder Horizontal Bend,,,,,,,
Electrical Equipment,,,JTC_TransformerRoom-Trench,,,,,,,
Electrical Equipment,,,1300 X 425 Cable_Pipe Encasement,,,,,,,
Electrical Equipment,,,480x360 Cable_Pipe Encasement,,,,,,,
Electrical Equipment,,,615x660 Cable_Pipe Encasement,,,,,,,
Electrical Equipment,,,CASEMENT 1300x425,,,,,,,
Electrical Equipment,,,TRANSFORMER PLINTH1,,,,,,,
Electrical Equipment,,,TRANSFORMER PLINTH2,,,,,,,
Electrical Equipment,,,JTC_TransformerRoom_Trench,,,,,,,
Electrical Equipment,,,TRANSFORMER PLINTH3,,,,,,,
Electrical Equipment,,,JTC_TransformerRoom-Trench 2,,,,,,,
Electrical Equipment,,,TRANSFORMER PLINTH4,,,,,,,
Electrical Equipment,,,TRANSFORMER PLINTH5,,,,,,,
Electrical Equipment,,,TRANSFORMER PLINTH6,,,,,,,
Electrical Equipment,,,TRANSFORMER PLINTH7,,,,,,,
Electrical Equipment,,,TRANSFORMER PLINTH8,,,,,,,
Electrical Equipment,,,TRANSFORMER PLINTH9,,,,,,,
Electrical Equipment,,,CASEMENT 1300x7,,,,,,,
Electrical Equipment,,,CASEMENT 1300x39,,,,,,,
Electrical Equipment,,,CASEMENT 1300x13,,,,,,,
Electrical Equipment,,,775x425 Cable_Pipe Encasement,,,,,,,
Electrical Equipment,,,CASEMENT 1300x16,,,,,,,
Electrical Equipment,,,CASEMENT 1300x17,,,,,,,
Electrical Equipment,,,CASEMENT 1300x18,,,,,,,
Electrical Equipment,,,CASEMENT 1300x19,,,,,,,
Electrical Equipment,,,CASEMENT 1300x20,,,,,,,
Electrical Equipment,,,CASEMENT 1300x21,,,,,,,
Electrical Equipment,,,CASEMENT 1300x24,,,,,,,
Electrical Equipment,,,CASEMENT 1300x26,,,,,,,
Electrical Equipment,,,CASEMENT 1300x23,,,,,,,
Electrical Equipment,,,CASEMENT 1300x29,,,,,,,
Electrical Equipment,,,CASEMENT 1300x27,,,,,,,
Electrical Equipment,,,CASEMENT 1300x6,,,,,,,
Electrical Equipment,,,CASEMENT 1300x2,,,,,,,
Electrical Equipment,,,CASEMENT 1300x1,,,,,,,
Electrical Equipment,,,CASEMENT 1300x14,,,,,,,
Electrical Equipment,,,CASEMENT 1300x15,,,,,,,
Electrical Equipment,,,CASEMENT 1300x47,,,,,,,
Electrical Equipment,,,CASEMENT 1300x31,,,,,,,
Electrical Equipment,,,CASEMENT 1300x35,,,,,,,
Electrical Equipment,,,CASEMENT 1300x36,,,,,,,
Electrical Equipment,,,CASEMENT 1300x11,,,,,,,
Electrical Equipment,,,CASEMENT 1300x12,,,,,,,
Electrical Equipment,,,CASEMENT 1300x25,,,,,,,
Electrical Equipment,,,CASEMENT 1300x28,,,,,,,
Electrical Equipment,,,CASEMENT 1300x30,,,,,,,
