Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Plumbing Fixtures,FF-CO-50,CO-50,FF-CO-50,,,,,CO-50,,uPVC,MCR09-01-01
Plumbing Fixtures,FF-Arteco-S,Arteco-S,FF-Arteco-S,,,,,Arteco-S,,Stainless steel and aluminum alloy,MCR09-01-01
Plumbing Fixtures,FF-Primo-150,Primo-150,FF-Primo-150,,,,,Primo-150,,Stainless steel and aluminum alloy,MCR09-01-01
Plumbing Fixtures,FF-Primo-75,Primo-75,FF-Primo-75,,,,,Primo-75,,Stainless steel and aluminum alloy,MCR09-01-01
Plumbing Fixtures,FF-Primo-100,Primo-100,FF-Primo-100,,,,,Primo-100,,Stainless steel and aluminum alloy,MCR09-01-01
Plumbing Fixtures,FF-Piccolo-50-RC,Piccolo-50 RC,FF-Piccolo-50-RC,,,,,Piccolo-50 RC,,Stainless steel and aluminum alloy,MCR09-01-01
Plumbing Fixtures,FF-CO-100,CO-100,FF-CO-100,,,,,CO-100,,uPVC,MCR09-01-01
Plumbing Fixtures,FF-CO-75,CO-75,FF-CO-75,,,,,CO-75,,uPVC,MCR09-01-01
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,,MCR17-08-01
Walls,Basic Wall,TS_150mm Thk. LW Concrete Wall,Basic Wall,,,WALL : 150mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_150mm Thk. LW Concrete Wall,TS_LW Wall (w/ FRS),,MCR17-08-01
Walls,Basic Wall,TS_250mm Thk. PC Parapet Wall (PP1-2),Basic Wall,,,WALL : 250mm Thk. Precast Parapet Wall (Type E),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_250mm Thk. PC Parapet Wall (PP1-2),TS_PC Parapet Wall,,MCR17-07-01
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall (FRS 2hr),Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall with 2hr Fire Rating,,TS_150mm Thk. PC Non-Structural Wall (FRS 2hr),TS_PC Wall (w/ FR),,MCR17-08-01
