Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Pipes,,,Pipe Types,,,,,,,
Pipe Fittings,,,M_Cap - Generic,,,,,,,
Pipe Fittings,,,M_Elbow - Generic,,,,,,,
Pipe Fittings,,,M_Tee - Generic,,,,,,,
Pipe Fittings,,,M_Transition - Generic,,,,,,,
Pipe Fittings,,,M_Coupling - Generic,,,,,,,
Pipe Fittings,,,M_Elbow - Flanged - GI - Class 250,,,,,,,
Pipe Fittings,,,M_Tee - Flanged - GI - Class 25,,,,,,,
Pipe Accessories,,,JTC_M_OutdoorTap_1,,,,,,,
Pipe Accessories,,,P&S_15-80 Threaded Gate Valve,,,,,,,
Pipe Accessories,BCA-_Check Valve - 10-100 mm - Threaded,15 mm,BCA-_Check Valve - 10-100 mm - Threaded,,,,,15 mm,,
Pipe Accessories,BCA-_Check Valve - 10-100 mm - Threaded,80 mm,BCA-_Check Valve - 10-100 mm - Threaded,,,,,80 mm,,
Pipe Accessories,BCA-_Gate Valve - 50-300 mm,200 mm,BCA-_Gate Valve - 50-300 mm,,,,,200 mm,,
Pipe Accessories,BCA-_Gate Valve - 50-300 mm,80 mm,BCA-_Gate Valve - 50-300 mm,,,,,80 mm,,
Pipe Accessories,BCA-_Gate Valve - 50-300 mm,150 mm,BCA-_Gate Valve - 50-300 mm,,,,,150 mm,,
Pipe Accessories,,,JTC_M_Water Meter,,,,,,,
Pipe Accessories,,,P_Threaded Check Valve,,,,,,,
Mechanical Equipment,,,JTC_Sub Meter,,,,,,,
Mechanical Equipment,,,JTC_Main Meter1,,,,,,,
Generic Models,,,Valve Chamber1,,,,,,,
Generic Models,,,Valve Chamber2,,,,,,,
Generic Models,,,JTC_Sub Meter,,,,,,,
Plumbing Fixtures,JTC_Shower Head,SH,JTC_Shower Head,,,,,SH,,Metal Polished
Plumbing Fixtures,,,Flush Valve,,,,,,,
Plumbing Fixtures,,,Flush Valve-HCP,,,,,,,
Plumbing Fixtures,M_Sink - Island - Single,455 mmx455 mm - Private,M_Sink - Island - Single,,,,,455 mmx455 mm - Private,,
