"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Pipes","","","Pipe Types","[3484424]","","","","","","","",""
"Pipes","","","Pipe Types","[3484425]","","","","","","","",""
"Pipes","","","Pipe Types","[4122081]","","","","","","","",""
"Pipes","","","Pipe Types","[4122082]","","","","","","","",""
"Pipes","","","Pipe Types","[4122395]","","","","","","","",""
"Pipes","","","Pipe Types","[4122396]","","","","","","","",""
"Pipes","","","Pipe Types","[4134682]","","","","","","","",""
"Pipes","","","Pipe Types","[4134683]","","","","","","","",""
"Pipes","","","Pipe Types","[4135829]","","","","","","","",""
"Pipes","","","Pipe Types","[4135830]","","","","","","","",""
"Pipes","","","Pipe Types","[4135934]","","","","","","","",""
"Pipes","","","Pipe Types","[4135935]","","","","","","","",""
"Pipes","","","Pipe Types","[4136540]","","","","","","","",""
"Pipes","","","Pipe Types","[4136541]","","","","","","","",""
"Pipes","","","Pipe Types","[4136568]","","","","","","","",""
"Pipes","","","Pipe Types","[4136569]","","","","","","","",""
"Pipes","","","Pipe Types","[4136741]","","","","","","","",""
"Pipes","","","Pipe Types","[4136742]","","","","","","","",""
"Pipes","","","Pipe Types","[4136753]","","","","","","","",""
"Pipes","","","Pipe Types","[4136754]","","","","","","","",""
"Pipes","","","Pipe Types","[4136775]","","","","","","","",""
"Pipes","","","Pipe Types","[4136776]","","","","","","","",""
"Pipes","","","Pipe Types","[4136792]","","","","","","","",""
"Pipes","","","Pipe Types","[4136793]","","","","","","","",""
"Pipes","","","Pipe Types","[4136867]","","","","","","","",""
"Pipes","","","Pipe Types","[4136868]","","","","","","","",""
"Pipes","","","Pipe Types","[4136881]","","","","","","","",""
"Pipes","","","Pipe Types","[4136882]","","","","","","","",""
"Pipes","","","Pipe Types","[4137026]","","","","","","","",""
"Pipes","","","Pipe Types","[4137027]","","","","","","","",""
"Pipes","","","Pipe Types","[4137028]","","","","","","","",""
"Pipes","","","Pipe Types","[4137029]","","","","","","","",""
"Pipes","","","Pipe Types","[4137093]","","","","","","","",""
"Pipes","","","Pipe Types","[4137094]","","","","","","","",""
"Pipes","","","Pipe Types","[4144302]","","","","","","","",""
"Pipes","","","Pipe Types","[4144303]","","","","","","","",""
"Pipes","","","Pipe Types","[4144727]","","","","","","","",""
"Pipes","","","Pipe Types","[4144728]","","","","","","","",""
"Pipes","","","Pipe Types","[4144738]","","","","","","","",""
"Pipes","","","Pipe Types","[4144739]","","","","","","","",""
