"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3254102]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3259519]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3259753]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3259754]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3259838]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3259839]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3259921]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3259922]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3262684]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3262748]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3262912]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3262992]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3262993]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3263006]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3263050]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3263135]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3263136]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3263155]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3263280]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3263281]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3259467]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3259605]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3259688]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3259689]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3259794]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3259795]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3259876]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3259877]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3262841]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3262856]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3262879]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3262994]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3263004]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3263005]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3263049]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3263137]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3263156]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3263282]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3269078]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3270558]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3270797]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3270968]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3271219]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3271346]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3271577]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3271781]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3271910]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3271982]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3272118]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3272200]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3272306]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3272452]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3272594]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3272761]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3272923]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3273330]","","","","","","","",""
"Planting","","","JTC_TREE_LAGERSTROEMIA LANGKAWIENSIS","[3273505]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3270440]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3270690]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3270925]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3271024]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3271273]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3271389]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3271644]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3271872]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3271940]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3272089]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3272160]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3272232]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3272356]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3272532]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3272631]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3272833]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3273254]","","","","","","","",""
"Planting","","","JTC_LAGERSTROEMIA SPECIOSA","[3273433]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3254102]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3259519]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3262684]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3262748]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3262912]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3262992]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3262993]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3263006]","","","","","","","",""
"Planting","","","JTC_TREE_TABEBUIA ROSEA","[3263050]","","","","","","","",""
"Planting","","","JTC_TREE_SYGYZIUM POLYANTHUM","[3259467]","","","","","","","",""
