"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[7991197]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[7991198]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[7991199]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[7991251]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8076263]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8076264]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8076265]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8076295]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[7991350]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[7991351]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[7991352]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[7991353]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[7991354]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8076344]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8076345]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8076346]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8076347]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8076348]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8109171]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8109172]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8109173]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8109174]","","","","","","","",""
"Air Terminals","","","FD_AIRG_FLXV-ExhaustAirGrille","[8109175]","","","","","","","",""
