"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Mechanical Equipment","FD-HoseReels-CabinetFixed","Hosereel Cabinet","FD-HoseReels-CabinetFixed","[7299048]","D4010.10","Water-Based Fire-Suppression","Hosereel","Hosereel","Hosereel Cabinet","","14GalvanizedPlug"
"Mechanical Equipment","FD-HoseReels-CabinetFixed","Hosereel Cabinet","FD-HoseReels-CabinetFixed","[7299053]","D4010.10","Water-Based Fire-Suppression","Hosereel","Hosereel","Hosereel Cabinet","","14GalvanizedPlug"
"Mechanical Equipment","FD-HoseReels-CabinetFixed","Hosereel Cabinet","FD-HoseReels-CabinetFixed","[9362963]","D4010.10","Water-Based Fire-Suppression","Hosereel","Hosereel","Hosereel Cabinet","","14GalvanizedPlug"
"Mechanical Equipment","EQP_M_F-Hydrant","Hydrant","EQP_M_F-Hydrant","[7299014]","G3010.30","Site Fire Protection Water Distribution","Fire Hydrant","FH","Hydrant","","<By Category>"
"Mechanical Equipment","EQP_M_F-Hydrant","Hydrant","EQP_M_F-Hydrant","[7299023]","G3010.30","Site Fire Protection Water Distribution","Fire Hydrant","FH","Hydrant","","<By Category>"
"Mechanical Equipment","EQP-MotorControlPanel","EQP-MotorControlPanel","EQP-MotorControlPanel","[7436430]","","","Fire Hydrant Pump Controller","NA","EQP-MotorControlPanel","","<By Category>"
"Mechanical Equipment","EQP-MotorControlPanel","EQP-MotorControlPanel","EQP-MotorControlPanel","[7437685]","","","Fire Hydrant Pump Controller","NA","EQP-MotorControlPanel","","<By Category>"
"Mechanical Equipment","EQP-MotorControlPanel","EQP-MotorControlPanel","EQP-MotorControlPanel","[8606043]","","","Fire Hydrant Pump Controller","NA","EQP-MotorControlPanel","","<By Category>"
"Mechanical Equipment","EQP-MotorControlPanel","EQP-MotorControlPanel","EQP-MotorControlPanel","[8664790]","","","Fire Hydrant Pump Controller","NA","EQP-MotorControlPanel","","<By Category>"
"Mechanical Equipment","Jockey Pump Control Panel","Jockey Pump Control Panel","Jockey Pump Control Panel","[7436431]","","","Sprinkler Pump Controller","Sprinkler Pump","Jockey Pump Control Panel","","<By Category>"
"Mechanical Equipment","Jockey Pump Control Panel","Jockey Pump Control Panel","Jockey Pump Control Panel","[7436432]","","","Sprinkler Pump Controller","Sprinkler Pump","Jockey Pump Control Panel","","<By Category>"
"Mechanical Equipment","Jockey Pump Control Panel","Jockey Pump Control Panel","Jockey Pump Control Panel","[7437686]","","","Sprinkler Pump Controller","Sprinkler Pump","Jockey Pump Control Panel","","<By Category>"
"Mechanical Equipment","Jockey Pump Control Panel","Jockey Pump Control Panel","Jockey Pump Control Panel","[7437687]","","","Sprinkler Pump Controller","Sprinkler Pump","Jockey Pump Control Panel","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9423695]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9423804]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9423881]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9424110]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9424845]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9425682]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9425713]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9425882]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9425973]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9426038]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9426094]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9429476]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","FD-Fire Extinguisher With Box","Fire Extinguisher With Box","FD-Fire Extinguisher With Box","[9435579]","23-29 25 19 11 11","","Fire Extinguisher","NA","Fire Extinguisher With Box","","<By Category>"
"Mechanical Equipment","EQP-Pump-Sprinkler Centrifugal-20LPS","Modular Pump","EQP-Pump-Sprinkler Centrifugal-20LPS","[9560805]","","","Sprinkler Pump","Sprinkler Pump","Modular Pump","","<By Category>"
"Mechanical Equipment","EQP-Pump-Hydrant Centrifugal-20LPS","Modular Pump","EQP-Pump-Hydrant Centrifugal-20LPS","[9575250]","","","Fire Hydrant Pump","Fire Hydrant Pump","Modular Pump","","<By Category>"
"Fire Alarm Devices","FD-FiremenIntercomFixtureAndDevice-Weather Proof Strobe Light","Wall Mount","FD-FiremenIntercomFixtureAndDevice-Weather Proof Strobe Light","[7299049]","D7050.10","Fire Detection and Alarm","Strobe Light","Strobe Light","Wall Mount","","<By Category>"
"Fire Alarm Devices","FD-FiremenIntercomFixtureAndDevice-Weather Proof Strobe Light","Wall Mount","FD-FiremenIntercomFixtureAndDevice-Weather Proof Strobe Light","[7299054]","D7050.10","Fire Detection and Alarm","Strobe Light","Strobe Light","Wall Mount","","<By Category>"
"Fire Alarm Devices","FD-FiremenIntercomFixtureAndDevice-Weather Proof Strobe Light","Wall Mount","FD-FiremenIntercomFixtureAndDevice-Weather Proof Strobe Light","[9062043]","D7050.10","Fire Detection and Alarm","Strobe Light","Strobe Light","Wall Mount","","<By Category>"
"Fire Alarm Devices","FD-FiremenIntercomFixtureAndDevice-Manual call point","Outdoor","FD-FiremenIntercomFixtureAndDevice-Manual call point","[7299050]","D7050","Detection and Alarm","Manual Call Point","Manual Call Point","Outdoor","","<By Category>"
"Fire Alarm Devices","FD-FiremenIntercomFixtureAndDevice-Manual call point","Outdoor","FD-FiremenIntercomFixtureAndDevice-Manual call point","[7299055]","D7050","Detection and Alarm","Manual Call Point","Manual Call Point","Outdoor","","<By Category>"
"Fire Alarm Devices","FD-FiremenIntercomFixtureAndDevice-Manual call point","Outdoor","FD-FiremenIntercomFixtureAndDevice-Manual call point","[9062044]","D7050","Detection and Alarm","Manual Call Point","Manual Call Point","Outdoor","","<By Category>"
"Fire Alarm Devices","FD-FiremenIntercomFixtureAndDevice-Manual call point","Indoor","FD-FiremenIntercomFixtureAndDevice-Manual call point","[7310929]","D7050","Detection and Alarm","Manual Call Point","Manual Call Point","Indoor","","<By Category>"
"Fire Alarm Devices","FD-FiremenIntercomFixtureAndDevice-Manual call point","Indoor","FD-FiremenIntercomFixtureAndDevice-Manual call point","[8871074]","D7050","Detection and Alarm","Manual Call Point","Manual Call Point","Indoor","","<By Category>"
