"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1187943]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1187944]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1189970]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1189971]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1193633]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1193634]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1193878]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1193879]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1193914]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1193915]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1194228]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1194229]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1194526]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1194527]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1204608]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1204609]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1205051]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1205052]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1282877]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1282878]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1282906]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1282907]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1283164]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1283165]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1283183]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1283184]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1283202]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1283203]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1283504]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1283505]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284039]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284040]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284270]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284271]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284661]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284662]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284676]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284677]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284691]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284692]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284755]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284756]","","","","","","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284774]","","","","","Standard","","<By Category>"
"Pipe Fittings","M_Ell Vent - PVC - Sch 40 - DWV","Standard","M_Ell Vent - PVC - Sch 40 - DWV","[1284775]","","","","","","","<By Category>"
