"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1353409]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1353410]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1353412]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1353413]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1353414]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1353415]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1353417]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1353418]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1355622]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1356612]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1356613]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1356614]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1356615]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1356616]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1356617]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1356618]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1356619]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1356620]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358615]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358671]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358697]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358746]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358754]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358764]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358846]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358856]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358866]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358874]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358886]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358896]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358906]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-3070W*3350H","FT01-L1a","[1358914]","","","3070 X 3350","Louver","NL-WD-LW-3P-FP-3070W*3350H","","Aluminum"
"Generic Models","FT01-L1a","NL-WD-LW-3P-FP-2575W*3350H","FT01-L1a","[1357126]","","","2575 X 3350","Louver","NL-WD-LW-3P-FP-2575W*3350H","","Aluminum"
"Generic Models","FT01-LV4SBL","NL-WD-LW-3P-FP-2951W*3350H","FT01-LV4SBL","[1356769]","","","2951 X 3350","Louver","NL-WD-LW-3P-FP-2951W*3350H","","Aluminum"
"Generic Models","FT01-LV4SBL","NL-WD-LW-3P-FP-2951W*3350H","FT01-LV4SBL","[1358393]","","","2951 X 3350","Louver","NL-WD-LW-3P-FP-2951W*3350H","","Aluminum"
"Generic Models","FT01-LV4SBL","NL-WD-LW-3P-FP-2953W*3200H","FT01-LV4SBL","[1823841]","","","2953 X 3200","Louver","NL-WD-LW-3P-FP-2953W*3200H","","Aluminum"
"Generic Models","FT01-LV4SBL","NL-WD-LW-3P-FP-2953W*3200H","FT01-LV4SBL","[1830574]","","","2953 X 3200","Louver","NL-WD-LW-3P-FP-2953W*3200H","","Aluminum"
"Generic Models","FT01-LV4SBL","NL-WD-LW-3P-FP-2944W*2370H","FT01-LV4SBL","[1963010]","","","2944 X 2370","Louver","NL-WD-LW-3P-FP-2944W*2370H","","Aluminum"
"Generic Models","FT01-LV4SBL","NL-WD-LW-3P-FP-2944W*2370H","FT01-LV4SBL","[1965086]","","","2944 X 2370","Louver","NL-WD-LW-3P-FP-2944W*2370H","","Aluminum"
"Generic Models","FT01-LV4SBL","NL-WD-LW-3P-FP-2944W*2370H","FT01-LV4SBL","[2341344]","","","2944 X 2370","Louver","NL-WD-LW-3P-FP-2944W*2370H","","Aluminum"
"Generic Models","FT01-LV4SBL","NL-WD-LW-3P-FP-2944W*2370H","FT01-LV4SBL","[2341998]","","","2944 X 2370","Louver","NL-WD-LW-3P-FP-2944W*2370H","","Aluminum"
