"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Parking","SC.Car_Parking_LSide","2400X4800","SC.Car_Parking_LSide","[5026555]","G2020110","","","","2400X4800","",""
"Parking","SC.Car_Parking_LSide","2400X4800","SC.Car_Parking_LSide","[5026693]","G2020110","","","","2400X4800","",""
"Parking","SC.Car_Parking_LSide","2400X4800","SC.Car_Parking_LSide","[15497182]","G2020110","","","","2400X4800","",""
"Parking","SC.Car_Parking_LSide","2400X4800","SC.Car_Parking_LSide","[15497305]","G2020110","","","","2400X4800","",""
"Parking","SC.Car_Parking_LSide","2400X4800","SC.Car_Parking_LSide","[15497363]","G2020110","","","","2400X4800","",""
"Parking","","","Direction Arrows - Straight","[5026592]","","","","","","","",""
"Parking","","","Direction Arrows - Straight","[5026593]","","","","","","","",""
"Parking","","","Direction Arrows - Straight","[5026594]","","","","","","","",""
"Parking","","","Direction Arrows - Straight","[5026595]","","","","","","","",""
"Parking","SC.Car_Parking_Side","2400X4800","SC.Car_Parking_Side","[5026694]","G2020110","","","","2400X4800","",""
"Parking","SC.Car_Parking_Side","2400X4800","SC.Car_Parking_Side","[15497258]","G2020110","","","","2400X4800","",""
"Parking","SC.Car_Parking_Side","2400X4800","SC.Car_Parking_Side","[15497362]","G2020110","","","","2400X4800","",""
"Parking","SC.Car_Parking_Side","2400X4800","SC.Car_Parking_Side","[15497428]","G2020110","","","","2400X4800","",""
"Parking","SC.Car_Parking_Side","2400X4800","SC.Car_Parking_Side","[15574459]","G2020110","","","","2400X4800","",""
"Parking","SC.Car_Parking_Mid","2400X4800","SC.Car_Parking_Mid","[5027062]","G2020110","","","","2400X4800","",""
"Parking","SC.Car_Parking_Mid","2400X4800","SC.Car_Parking_Mid","[15574335]","G2020110","","","","2400X4800","",""
"Parking","Lorry Parking Lot","3300x12000","Lorry Parking Lot","[15576213]","","","","","3300x12000","",""
"Parking","Lorry Parking Lot","3300x12000","Lorry Parking Lot","[15576310]","","","","","3300x12000","",""
"Parking","Lorry Parking Lot","3300x12000","Lorry Parking Lot","[15576367]","","","","","3300x12000","",""
"Parking","Lorry Parking Lot","3300x12000","Lorry Parking Lot","[15576463]","","","","","3300x12000","",""
"Parking","Lorry Parking Lot","3300x12000","Lorry Parking Lot","[15576585]","","","","","3300x12000","",""
"Parking","Lorry Parking Lot","3300x12000","Lorry Parking Lot","[15576642]","","","","","3300x12000","",""
