Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Walls,Basic Wall,L166_PLASTER_20mm,Basic Wall,B2010120,Ext. Wall - Precast,20mm THK Plaster,,L166_PLASTER_20mm,L166_Plaster,
Walls,Basic Wall,L166_Wall 3C_150mm(no plaster),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(no plaster),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(35 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(35 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm,00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(15-20 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(15-20 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(one side 15mm),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(one side 15mm),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_100mm (0-0 COAT),Basic Wall,3C:CN60,,100mm THK PC WALL,,L166_Wall_100mm (0-0 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(one side 20mm),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(one side 20mm),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_100mm (20-0 COAT),Basic Wall,3C:CN60,,100mm THK PC WALL,,L166_Wall_100mm (20-0 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_100mm (15-0 COAT),Basic Wall,3C:CN60,,100mm THK PC WALL,,L166_Wall_100mm (15-0 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_100mm (15-15 COAT),Basic Wall,3C:CN60,,100mm THK PC WALL,,L166_Wall_100mm (15-15 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(20-35 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(20-35 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 3C_150mm(20 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(20 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_PLASTER_10mm,Basic Wall,B2010120,Ext. Wall - Precast,10mm THK SKIM COAT,,L166_PLASTER_10mm,L166_Plaster,
Walls,Basic Wall,L166_PLASTER_15mm,Basic Wall,B2010120,Ext. Wall - Precast,15mm THK Plaster,,L166_PLASTER_15mm,L166_Plaster,
Walls,Basic Wall,L166_PLASTER_25mm,Basic Wall,B2010120,Ext. Wall - Precast,25mm THK Plaster,,L166_PLASTER_25mm,L166_Plaster,
Walls,Basic Wall,L166_TILE_50mm LIFT,Basic Wall,B2010120,Ext. Wall - Precast,1200x600x11mm Ceramic Wall Tiles,,L166_TILE_50mm LIFT,LCBC_Tile 1200x600mm,
Walls,Basic Wall,L166_Tile Finish_35mm,Basic Wall,B2010120,Ext. Wall - Precast,300x600 Polished Porcelain Wall Tiles,,L166_Tile Finish_35mm,LCBC_Tile Staggered,
Walls,Basic Wall,L166_TILE_35mm LIFT,Basic Wall,B2010120,Ext. Wall - Precast,1200x600x11mm Ceramic Wall Tiles,,L166_TILE_35mm LIFT,_Lift,
Walls,Basic Wall,L166_Dry Wall 4B_127mm,Basic Wall,04:MS13,,127mm THK DRYWALL,,L166_Dry Wall 4B_127mm,Default,
Walls,Basic Wall,L166_Insulation_60mm,Basic Wall,B2010120,Ext. Wall - Precast,60mmThk Drywall Lining,,L166_Insulation_60mm,L166_Plaster,
Walls,Basic Wall,L166_Wall 3C_150mm(15-35 COAT),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3C_150mm(15-35 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall_100mm (20-15 COAT),Basic Wall,3C:CN60,,100mm THK PC WALL,,L166_Wall_100mm (20-15 COAT),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 2A_100mm,Basic Wall,04:MS13,,100mm THK ALC WALL,,L166_Wall 2A_100mm,00_L166_BLOCK WALL,
Walls,Basic Wall,L166_Dry Wall 4C_76.5mm,Basic Wall,04:MS13,,76.5mm THK DRYWALL,,L166_Dry Wall 4C_76.5mm,Gypsum Wall Board,
Walls,Basic Wall,L166_Wall 3B_150mm (NO PLASTER),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall 3B_150mm (NO PLASTER),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Host,Basic Wall,,,Stainless Steel Strip,,L166_Host,Metal - Stud Layer,
Walls,Basic Wall,L166_Wall_150mm_ALC PANEL EXT (0-25mm),Basic Wall,3C:CN60,,150mm THK PC WALL,,L166_Wall_150mm_ALC PANEL EXT (0-25mm),00_L166_PRECAST WALL,
Walls,Basic Wall,L166_Wall 2C_100mm,Basic Wall,04:MS13,,100mm THK PC WALL,,L166_Wall 2C_100mm,00_L166_BLOCK WALL,
