"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Structural Framing","LCBC_Precast T-Beam","1000x1400 PT PCB01","LCBC_Precast T-Beam","[2467774]","","","","Beam Precast","1000x1400 PT PCB01","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1400 PT PCB01","LCBC_Precast T-Beam","[2467776]","","","","Beam Precast","1000x1400 PT PCB01","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1400 PT PCB01","LCBC_Precast T-Beam","[2467778]","","","","Beam Precast","1000x1400 PT PCB01","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1400 PT PCB01","LCBC_Precast T-Beam","[2467780]","","","","Beam Precast","1000x1400 PT PCB01","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1400 PT PCB01","LCBC_Precast T-Beam","[2467782]","","","","Beam Precast","1000x1400 PT PCB01","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1400 PT PCB01","LCBC_Precast T-Beam","[2467784]","","","","Beam Precast","1000x1400 PT PCB01","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1400 PT PCB01","LCBC_Precast T-Beam","[2467790]","","","","Beam Precast","1000x1400 PT PCB01","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1400 PT PCB01","LCBC_Precast T-Beam","[2467902]","","","","Beam Precast","1000x1400 PT PCB01","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1400 PT PCB01","LCBC_Precast T-Beam","[2467904]","","","","Beam Precast","1000x1400 PT PCB01","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1450x1500 PT PCB06","LCBC_Precast T-Beam","[2467792]","","","","Beam Precast","1450x1500 PT PCB06","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1450x1500 PT PCB06","LCBC_Precast T-Beam","[2467794]","","","","Beam Precast","1450x1500 PT PCB06","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1450x1500 PT PCB06","LCBC_Precast T-Beam","[2467796]","","","","Beam Precast","1450x1500 PT PCB06","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1450x1500 PT PCB06","LCBC_Precast T-Beam","[2467806]","","","","Beam Precast","1450x1500 PT PCB06","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1450x1500 PT PCB06","LCBC_Precast T-Beam","[2467808]","","","","Beam Precast","1450x1500 PT PCB06","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1450x1500 PT PCB06","LCBC_Precast T-Beam","[2467810]","","","","Beam Precast","1450x1500 PT PCB06","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB02a","LCBC_Precast T-Beam","[2467798]","","","","Beam Precast","1000x1500 PT PCB02a","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB02a","LCBC_Precast T-Beam","[2467800]","","","","Beam Precast","1000x1500 PT PCB02a","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB02a","LCBC_Precast T-Beam","[2467802]","","","","Beam Precast","1000x1500 PT PCB02a","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB02a","LCBC_Precast T-Beam","[2467804]","","","","Beam Precast","1000x1500 PT PCB02a","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB02a","LCBC_Precast T-Beam","[2467812]","","","","Beam Precast","1000x1500 PT PCB02a","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB02a","LCBC_Precast T-Beam","[2467814]","","","","Beam Precast","1000x1500 PT PCB02a","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB02a","LCBC_Precast T-Beam","[2467816]","","","","Beam Precast","1000x1500 PT PCB02a","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast T-Beam","1000x1500 PT PCB02a","LCBC_Precast T-Beam","[2467818]","","","","Beam Precast","1000x1500 PT PCB02a","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1450x1250 PT PCB07","LCBC_Precast L-Beam","[2467786]","","","","Beam Precast","1450x1250 PT PCB07","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1450x1250 PT PCB07","LCBC_Precast L-Beam","[2467788]","","","","Beam Precast","1450x1250 PT PCB07","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1450x1250 PT PCB07","LCBC_Precast L-Beam","[2467892]","","","","Beam Precast","1450x1250 PT PCB07","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1450x1250 PT PCB07","LCBC_Precast L-Beam","[2468761]","","","","Beam Precast","1450x1250 PT PCB07","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1450x1250 PT PCB07","LCBC_Precast L-Beam","[2468763]","","","","Beam Precast","1450x1250 PT PCB07","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1450x1250 PT PCB07","LCBC_Precast L-Beam","[2468765]","","","","Beam Precast","1450x1250 PT PCB07","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467878]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467880]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467882]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467884]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467886]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467888]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467890]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467906]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467908]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467910]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2467934]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
"Structural Framing","LCBC_Precast L-Beam","1000x1200 PCB03","LCBC_Precast L-Beam","[2672104]","","","","Beam Precast","1000x1200 PCB03","ST-PRECAST CONC",""
