"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Cable Trays","","","Cable Tray with Fittings","[3168486]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3176162]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3277508]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3277970]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3280602]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3444284]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3455107]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3455114]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3455119]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3457833]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3457870]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3457881]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3457892]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3457897]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3457904]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3463922]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3464092]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3465017]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3465711]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3465756]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3466402]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3477128]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3479065]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3479812]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3479895]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3480014]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3480883]","","","","","","","",""
"Cable Trays","","","Cable Tray with Fittings","[3481026]","","","","","","","",""
