"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Mechanical Equipment","PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted","SANI","PB_SANI_Ejector Pump_Vertical Discharge_Non-Hosted","[913675]","","","","","SANI","",""
"Mechanical Equipment","","","Calpeda Pump","[1196254]","","","","","","","",""
"Mechanical Equipment","","","Calpeda Pump","[1613609]","","","","","","","",""
"Mechanical Equipment","","","Calpeda Pump","[2379992]","","","","","","","",""
"Mechanical Equipment","","","Calpeda Pump","[2379993]","","","","","","","",""
"Mechanical Equipment","","","Pressure_Vessel","[1207961]","","","","","","","",""
"Mechanical Equipment","","","Pressure_Vessel","[2380000]","","","","","","","",""
"Mechanical Equipment","","","50mm Automatic Backwash Filter","[1276310]","","","","","","","",""
"Mechanical Equipment","","","50mm Automatic Backwash Filter","[2380012]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[924505]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[924508]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[951923]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[951924]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[951951]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[951954]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[951993]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[951996]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952049]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952050]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952549]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952550]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952599]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952602]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952609]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952612]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952653]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952654]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952711]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952712]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952761]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952764]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952771]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952774]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952815]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952816]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952873]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952874]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952923]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952926]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952933]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952936]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952977]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[952978]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[966641]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[966644]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1020030]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1020033]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1020052]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1020055]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1020071]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1020074]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1026957]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1026960]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1028407]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1028408]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1142897]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1142900]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1142929]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1142932]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1143129]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1143132]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1143908]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1143911]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1144010]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1144013]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1144415]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1144418]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1146058]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1146061]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1146254]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1146257]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1185361]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1185364]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1258775]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1258776]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259143]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259144]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259323]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259326]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259342]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259345]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259363]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259366]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259577]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259580]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259596]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259599]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259615]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1259618]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1260071]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1260072]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1261795]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1261798]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1664724]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1664727]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1704428]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1704431]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1705540]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1705543]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1705868]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1705871]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1706207]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1706208]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1832246]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1832247]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1832500]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1832501]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1892157]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1892158]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1892544]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1892547]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1892640]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1892641]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1914343]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1914346]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1918324]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1918327]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1918464]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1918467]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1918512]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1918515]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1918799]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1918802]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1918943]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1918944]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1950149]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1950152]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1950184]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1950187]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1963911]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1963914]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1964935]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1964938]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1964996]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1964999]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1965566]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1965567]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1966091]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1966094]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1966120]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1966123]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1966710]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1966713]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1979582]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1979585]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1984752]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1984755]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1984807]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1984810]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1998607]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1998610]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1999391]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1999394]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1999632]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[1999633]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2004735]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2004738]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2008139]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2008142]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2017060]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2017063]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2032641]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2032644]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2050736]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2050739]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2050896]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2050899]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2071145]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2071148]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2078648]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2078649]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2078672]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2078675]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2080196]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2080197]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2080280]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2080283]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2081083]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2081086]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2082924]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2082925]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2093359]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2093362]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2093391]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2093394]","","","","","","","",""
"Pipe Fittings","","","M_Tee - PVC - Sch 40","[2093470]","","","","","","","",""
