Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Cable Trays,,,Cable Tray with Fittings,,,,,,,
Cable Tray Fittings,,,Cable Tray Horizontal Bend,,,,,,,
Cable Tray Fittings,,,Cable Tray Vertical Outside Bend,,,,,,,
Cable Tray Fittings,,,Cable Tray Horizontal Tee,,,,,,,
Cable Tray Fittings,,,Cable Tray Vertical Inside Bend,,,,,,,
Cable Tray Fittings,,,Cable Tray Horizontal Bend1,,,,,,,
Cable Tray Fittings,,,Cable Tray Horizontal Tee1,,,,,,,
Cable Tray Fittings,,,Cable Tray Vertical Outside Bend1,,,,,,,
Cable Tray Fittings,,,Cable Tray Reducer,,,,,,,
Cable Tray Fittings,,,Cable Tray Vertical Inside Bend1,,,,,,,
Cable Tray Fittings,,,Cable Tray Reducer1,,,,,,,
Cable Tray Fittings,,,Cable Tray Union,,,,,,,
Cable Tray Fittings,,,Cable Tray Union1,,,,,,,
Data Devices,,,PB_ELV_IT_Outlet_Wall Surface,,,,,,,
Data Devices,,,TEE_Data Devices_Data Outlet,,,,,,,
Lighting Devices,,,PB14_ELV_Emergency Push Button_Wall Surface,,,,,,,
Lighting Devices,TEE_Lighting Devices_Panic Button_Wall Recessed,Panic Button,TEE_Lighting Devices_Panic Button_Wall Recessed,,,,,Panic Button,,
Pipe Fittings,,,PB_Generic_Cross,,,,,,,
Pipe Fittings,,,M_Elbow - Generic,,,,,,,
Pipe Fittings,,,PB_Generic_Equal Tee,,,,,,,
Pipe Fittings,,,PB_Generic_Elbow,,,,,,,
Pipe Fittings,,,PB_Generic_Union,,,,,,,
Pipes,,,Pipe Types,,,,,,,
Electrical Fixtures,,,PB_ELV_GEN_MCT_Wall Mounted,,,,,,,
Electrical Fixtures,,,SOB,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_FTP,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_AMS Rack,,,,,,,
Electrical Equipment,,,TEE_Generic Models_41x41mm UNISTRUT,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Server Rack,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_LAN Rack,,,,,,,
Lighting Fixtures,,,PB14_ELV_Strobe Light_Wall Surface,,,,,,,
Lighting Fixtures,,,TEE_Lighting Devices_Strobe Light,,,,,,,
Generic Models,,,TEE_Generic Models_Access Panel,,,,,,,
