Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Foundations,LCBC_Pile Cap-3 Pile,3P1A_1700,LCBC_Pile Cap-3 Pile,A1010130,Pile Caps,,,3P1A_1700,LCBC_Concrete - Cast In Situ,
Structural Foundations,LCBC_Pile Cap-3 Pile,3P1A_1700,LCBC_Pile Cap-3 Pile,A1010130,Pile Caps,,,3P1A_1700,Concrete - Cast-in-Place Concrete,
Structural Foundations,LCBC_Pile Cap-3 Pile,3P1C_1900,LCBC_Pile Cap-3 Pile,A1010130,Pile Caps,,,3P1C_1900,LCBC_Concrete - Cast In Situ,
Structural Foundations,LCBC_Pile Cap-3 Pile,3P1C_1900,LCBC_Pile Cap-3 Pile,A1010130,Pile Caps,,,3P1C_1900,Concrete - Cast-in-Place Concrete,
Structural Foundations,LCBC_Pile Cap-3 Pile,3P1B_1800,LCBC_Pile Cap-3 Pile,A1010130,Pile Caps,,,3P1B_1800,Concrete - Cast-in-Place Concrete,
Structural Foundations,LCBC_Pile Cap-3 Pile,3P1B_1800,LCBC_Pile Cap-3 Pile,A1010130,Pile Caps,,,3P1B_1800,LCBC_Concrete,
Structural Foundations,LCBC_Pile Cap-3 Pile,3P1D_2100,LCBC_Pile Cap-3 Pile,A1010130,Pile Caps,,,3P1D_2100,Concrete - Cast-in-Place Concrete,
Structural Foundations,LCBC_Pile Cap-3 Pile,3P1D_2100,LCBC_Pile Cap-3 Pile,A1010130,Pile Caps,,,3P1D_2100,LCBC_Concrete,
Structural Foundations,LCBC_Pile Cap-3 Pile,3P1D_2100 Enlarged,LCBC_Pile Cap-3 Pile,A1010130,Pile Caps,,,3P1D_2100 Enlarged,Concrete - Cast-in-Place Concrete,
Structural Foundations,LCBC_Pile Cap_1 Pile,LB_1TP1E_1700,LCBC_Pile Cap_1 Pile,A1010130,Pile Caps,,,LB_1TP1E_1700,LCBC_Concrete - Cast In Situ,
Structural Foundations,LCBC_Pile Cap_2 Pile,LB_2P1C/2P1D/2TP1D_2000,LCBC_Pile Cap_2 Pile,A1010130,Pile Caps,,,LB_2P1C/2P1D/2TP1D_2000,LCBC_Concrete - Cast In Situ,
Structural Foundations,LCBC_Pile Cap_2 Pile,LB_2TP1E,LCBC_Pile Cap_2 Pile,A1010130,Pile Caps,,,LB_2TP1E,LCBC_Concrete - Cast In Situ,
Structural Foundations,LCBC_Pile Cap_4 Pile,LB_4P1A/4P1B_2000,LCBC_Pile Cap_4 Pile,A1010130,Pile Caps,,,LB_4P1A/4P1B_2000,LCBC_Concrete - Cast In Situ,
Structural Foundations,LCBC_Pile Cap_4 Pile,LB_4TP1C_4600_2100,LCBC_Pile Cap_4 Pile,A1010130,Pile Caps,,,LB_4TP1C_4600_2100,LCBC_Concrete - Cast In Situ,
Structural Foundations,LCBC_Pile Cap_4 Pile,LB_4P1C/4TP1C/4TP1D_2100,LCBC_Pile Cap_4 Pile,A1010130,Pile Caps,,,LB_4P1C/4TP1C/4TP1D_2100,LCBC_Concrete - Cast In Situ,
