"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588705]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588706]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588720]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588732]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588734]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588740]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588748]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588752]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588753]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588755]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588774]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588868]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4588873]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4589262]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4589362]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_Dry Wall 4B_127mm","Basic Wall","[4590594]","04:MS13","","127mm THK DRYWALL","","LCBC_Dry Wall 4B_127mm","Default",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4588743]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4588744]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4588749]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4588756]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4589414]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4589908]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4710936]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4710974]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4712553]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4712616]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4717742]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4717745]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4717749]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4717795]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4717808]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4717814]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
"Walls","Basic Wall","LCBC_EX_W3C_15P_ALC_165mm","Basic Wall","[4717904]","3C:CN60","","150mm THK PC WALL","","LCBC_EX_W3C_15P_ALC_165mm","LCBC_PRECAST WALL",""
