"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Walls","Basic Wall","LCBC_W3G_10P_ALC_10P_220mm","Basic Wall","[1214584]","3C:CN60","","200mm THK PC WALL","","LCBC_W3G_10P_ALC_10P_220mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_W3G_10P_ALC_10P_220mm","Basic Wall","[1214585]","3C:CN60","","200mm THK PC WALL","","LCBC_W3G_10P_ALC_10P_220mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_W3G_10P_ALC_10P_220mm","Basic Wall","[1216460]","3C:CN60","","200mm THK PC WALL","","LCBC_W3G_10P_ALC_10P_220mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_W3G_10P_ALC_10P_220mm","Basic Wall","[1216461]","3C:CN60","","200mm THK PC WALL","","LCBC_W3G_10P_ALC_10P_220mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_W3G_10P_ALC_10P_220mm","Basic Wall","[1216510]","3C:CN60","","200mm THK PC WALL","","LCBC_W3G_10P_ALC_10P_220mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_W3G_10P_ALC_10P_220mm","Basic Wall","[1220962]","3C:CN60","","200mm THK PC WALL","","LCBC_W3G_10P_ALC_10P_220mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_W3G_10P_ALC_10P_220mm","Basic Wall","[1220965]","3C:CN60","","200mm THK PC WALL","","LCBC_W3G_10P_ALC_10P_220mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_W3G_10P_ALC_10P_220mm","Basic Wall","[1304844]","3C:CN60","","200mm THK PC WALL","","LCBC_W3G_10P_ALC_10P_220mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_W3G_10P_ALC_10P_220mm","Basic Wall","[1304845]","3C:CN60","","200mm THK PC WALL","","LCBC_W3G_10P_ALC_10P_220mm","00_L166_PRECAST WALL",""
"Walls","Basic Wall","LCBC_W3G_10P_ALC_10P_220mm","Basic Wall","[1304860]","3C:CN60","","200mm THK PC WALL","","LCBC_W3G_10P_ALC_10P_220mm","00_L166_PRECAST WALL",""
