"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2926970]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2926972]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2926974]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2926976]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2926980]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2926982]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927002]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927004]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927006]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927008]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927010]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927128]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927130]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927132]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927134]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927136]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927138]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927140]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927144]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927146]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927148]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927150]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927154]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
"Structural Framing","LCBC_Universal Beams","UB457x191x67","LCBC_Universal Beams","[2927156]","","","","","UB457x191x67","Metal - Steel - 345 MPa",""
