"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Structural Framing","Rectangular and Square Hollow Sections","RHS200x150x6 Lintel","Rectangular and Square Hollow Sections","[199194]","","","","","RHS200x150x6 Lintel","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","RHS200x150x6 Lintel","Rectangular and Square Hollow Sections","[1119275]","","","","","RHS200x150x6 Lintel","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","RHS200x150x6 Lintel","Rectangular and Square Hollow Sections","[1119596]","","","","","RHS200x150x6 Lintel","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","RHS200x150x6 Lintel","Rectangular and Square Hollow Sections","[1119872]","","","","","RHS200x150x6 Lintel","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","RHS200x150x6 Lintel","Rectangular and Square Hollow Sections","[1124471]","","","","","RHS200x150x6 Lintel","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","RHS200x150x6 Lintel","Rectangular and Square Hollow Sections","[1124863]","","","","","RHS200x150x6 Lintel","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","RHS200x150x6 Lintel","Rectangular and Square Hollow Sections","[1125451]","","","","","RHS200x150x6 Lintel","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","RHS200x150x6 Lintel","Rectangular and Square Hollow Sections","[1126256]","","","","","RHS200x150x6 Lintel","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753111]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753113]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753115]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753117]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753123]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753125]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753127]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753129]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753131]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753133]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753135]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753137]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753139]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753141]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753143]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753167]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753169]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753197]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753199]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753201]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753203]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753205]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753210]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753213]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753216]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753218]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
"Structural Framing","Rectangular and Square Hollow Sections","SHS75x75x4","Rectangular and Square Hollow Sections","[12753220]","","","","","SHS75x75x4","Metal - Steel - 345 MPa",""
