Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 15),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 15),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 15b),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 15b),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 15a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 15a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 13a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 13a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 15c),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 15c),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 20),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 20),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 26b),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 26b),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 26a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 26a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 05),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 05),Concrete - Cast-in-Place Concrete,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 09),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 09),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 09a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 09a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 10),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 10),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 28b),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 28b),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 28c),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 28c),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 28d),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 28d),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 16),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 16),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 17),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 17),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 18),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 18),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 18a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 18a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 11),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 11),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 12a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 12a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 12b),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 12b),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 19),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 19),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 31),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 31),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 14),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 14),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 21),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 21),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 30),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 30),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 28),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 28),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 28a),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 28a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 08),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 08),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 23),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 23),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 24),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 24),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 25),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 25),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 23a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 23a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 22),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 22),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 29),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 29),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 27),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 27),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 27a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 27a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 26),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 26),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 13),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 13),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 43),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 43),Concrete - Cast-in-Place Concrete,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 31a),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 31a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,600 x 600mm_PC (Type 37),COL-CON-STC-REC,,,,600x600,600 x 600mm_PC (Type 37),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 24a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 24a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 36),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 36),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 16a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 16a),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 39),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 39),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 38),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 38),OOG_Concrete Precast,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 41),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 41),Concrete - Cast-in-Place Concrete,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 33),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 33),Concrete - Cast-in-Place Concrete,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 35),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 35),Concrete - Cast-in-Place Concrete,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 32),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 32),Concrete - Cast-in-Place Concrete,
Structural Columns,COL-CON-STC-REC,450 x 450mm_PC (Type 33a),COL-CON-STC-REC,,,,450x450,450 x 450mm_PC (Type 33a),Concrete - Cast-in-Place Concrete,
