Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Floors,Floor,Concrete Slab,Floor,,,,,Concrete Slab,Concrete - Pre Cast,
Floors,Floor,Concrete Slab Toilet,Floor,,,,,Concrete Slab Toilet,Concrete - Pre Cast,
Floors,Floor,Concrete Slab Toilet Modular,Floor,,,,,Concrete Slab Toilet Modular,Concrete - Cast In Situ,
Floors,Floor,Interior Stairs Slab,Floor,,,,,Interior Stairs Slab,Gray,
Floors,Floor,CONCRETE 100mm,Floor,,,,,CONCRETE 100mm,Concrete - Cast-in-Place Concrete,
Floors,Precast Slanted @ window,Precast Slanted @ window,Precast Slanted @ window,,,,,Precast Slanted @ window,<By Category>,
Columns,Rectangular,900 x 900mm,Rectangular,,,,,900 x 900mm,,Pre Cast Concrete Coloumn
Columns,Rectangular,800 x 800mm,Rectangular,,,,,800 x 800mm,,Pre Cast Concrete Coloumn
Columns,Rectangular,400 x 400mm,Rectangular,,,,,400 x 400mm,,Pre Cast Concrete Coloumn
Roofs,,,Basic Roof,,,,,,,
Walls,Basic Wall,External Pre-Cast Concrete 100mm,Basic Wall,,,,,External Pre-Cast Concrete 100mm,Concrete - Pre Cast,
Walls,Basic Wall,Exterior Canopy,Basic Wall,,,,,Exterior Canopy,Cladding - Vertical Ribbed,
Walls,Basic Wall,Internal_RC_225mm,Basic Wall,,,,,Internal_RC_225mm,Wall_Concrete,
Walls,Basic Wall,Internal Pre-Cast Concrete 100mm,Basic Wall,,,,,Internal Pre-Cast Concrete 100mm,Concrete - Pre Cast,
Walls,Basic Wall,Precast Wall 100mm,Basic Wall,,,,,Precast Wall 100mm,Concrete - Precast Concrete,
Walls,Basic Wall,External Pre Cast Concrete Wall 150mm,Basic Wall,,,,,External Pre Cast Concrete Wall 150mm,<By Category>,
Walls,Basic Wall,Stacked Wall To Be Excluded 300mm,Basic Wall,,,,,Stacked Wall To Be Excluded 300mm,Concrete - Precast Concrete,
Walls,Basic Wall,Stack Wall Reinforce Concrete 150mm,Basic Wall,,,,,Stack Wall Reinforce Concrete 150mm,<By Category>,
Walls,Basic Wall,Stack Wall Not To Be Excluded 100mm,Basic Wall,,,,,Stack Wall Not To Be Excluded 100mm,Concrete - Precast Concrete,
Walls,Basic Wall,Internal Pre-Cast Concrete Toilet,Basic Wall,,,,,Internal Pre-Cast Concrete Toilet,Toilet Pre Fab Wall,
Walls,Basic Wall,Dry Partition,Basic Wall,,,,,Dry Partition,Cladding - Vertical Ribbed,
Walls,Basic Wall,Internal Pre-Cast Concrete Toilet Kerb Unbound,Basic Wall,,,,,Internal Pre-Cast Concrete Toilet Kerb Unbound,Toilet Pre Fab Wall,
Walls,Basic Wall,Internal Toilet Partition Unbound,Basic Wall,,,,,Internal Toilet Partition Unbound,Orange Light,
Walls,Basic Wall,Facade Wall Screen,Basic Wall,,,,,Facade Wall Screen,Perfo,
Walls,Basic Wall,Facade Wall Internal,Basic Wall,,,,,Facade Wall Internal,Feature Facade Wall Paint,
Walls,Basic Wall,Precast Wall 10mm (DARK GREY),Basic Wall,,,,,Precast Wall 10mm (DARK GREY),PAINT (DARK GREY),
Walls,Basic Wall,Precast Wall 10mm (OFF WHITE),Basic Wall,,,,,Precast Wall 10mm (OFF WHITE),PAINT (OFF WHITE),
Walls,Basic Wall,Precast Wall 10mm (LIGHT GREY),Basic Wall,,,,,Precast Wall 10mm (LIGHT GREY),Concrete - Pre Cast,
Site,,,Handicap_Parking_Stall_Symbol_15723,,,,,,,
Plumbing Fixtures,,,2D WC,,,,,,,
Doors,Swing Folding Metal Gate,Swing Folding Metal Gate,Swing Folding Metal Gate,,,,,Swing Folding Metal Gate,,
Doors,Swing Folding Metal Gate,Type 2,Swing Folding Metal Gate,,,,,Type 2,,
Doors,Timber Double Door,1200x2200,Timber Double Door,,,TIMBER DOOR,,1200x2200,,
Doors,Timber Double Door,1600x2200,Timber Double Door,,,TIMBER DOOR,,1600x2200,,
Doors,Timber Single Door Wtih Vision Panel,1000x2200-P,Timber Single Door Wtih Vision Panel,,,TIMBER DOOR,,1000x2200-P,,
Doors,Elevator Door-Center,1400 x 2100mm,Elevator Door-Center,,,FIRE RATED LIFT DOOR TO MFR'S DETAIL,,1400 x 2100mm,,
Doors,Timber Single Door,RISER SINGLE DOOR INTERNAL 600,Timber Single Door,,,TIMBER DOOR,,RISER SINGLE DOOR INTERNAL 600,,
Doors,Timber Single Door,RISER SINGLE DOOR INTERNAL 300,Timber Single Door,,,TIMBER DOOR,,RISER SINGLE DOOR INTERNAL 300,,
Doors,Timber Single Door,RISER SINGLE DOOR INTERNAL 900,Timber Single Door,,,TIMBER DOOR,,RISER SINGLE DOOR INTERNAL 900,,
Doors,Alum. Single Door Wtih Vision Panel,1000x2200-P,Alum. Single Door Wtih Vision Panel,,,METAL DOOR,,1000x2200-P,,
Doors,Roller Shutter Door,Roller Shutter Door,Roller Shutter Door,,,,,Roller Shutter Door,,
Doors,Roller Shutter Door,Roller Shutter Door Ground,Roller Shutter Door,,,,,Roller Shutter Door Ground,,
Doors,KO panel,KO panel,KO panel,,,,,KO panel,,
Doors,Timber Single Door With Louver,900x2200,Timber Single Door With Louver,,,TIMBER DOOR WITH TIMBER LOUVRE,,900x2200,,
Windows,Exterior Alum.Window Panel,Exterior Alum.Window Panel Mid,Exterior Alum.Window Panel,,,,,Exterior Alum.Window Panel Mid,,
Windows,Interior Alum.Window Panel,Interior Alum.Window Panel,Interior Alum.Window Panel,,,,,Interior Alum.Window Panel,,
Windows,Louvre Glass Window Panel,Louvre Glass Window Panel Type A,Louvre Glass Window Panel,,,,,Louvre Glass Window Panel Type A,,
Windows,Louvre Featured Panel,Louvre Featured Panel,Louvre Featured Panel,,,,,Louvre Featured Panel,,
Windows,Toilet Window,Toilet Window Upper,Toilet Window,,,,,Toilet Window Upper,,
Floors,Floor,Sidewalk,Floor,,,,,Sidewalk,Concrete - Cast In Situ,
Floors,Floor,Landscape,Floor,,,,,Landscape,Site - Grass,
Floors,Floor,Concrete Slab Sub Station,Floor,,,,,Concrete Slab Sub Station,Concrete - Pre Cast,
Floors,Floor,TACTILE WARNING INDICATOR 5mm,Floor,,,,,TACTILE WARNING INDICATOR 5mm,Concrete - Cast-in-Place Concrete,
Floors,Floor,CONCRETE 50mm,Floor,,,,,CONCRETE 50mm,Concrete - Cast-in-Place Concrete,
Floors,Floor,Sidewalk 2,Floor,,,,,Sidewalk 2,Concrete - Cast In Situ,
Columns,Rectangular,800 x 1250,Rectangular,,,,,800 x 1250,,Pre Cast Concrete Coloumn
Columns,,,Canopy Column,,,,,,,
Columns,Rectangular1,430 x 300mm,Rectangular1,,,,,430 x 300mm,,<By Category>
Columns,Rectangular1,300 x 300mm,Rectangular1,,,,,300 x 300mm,,<By Category>
Walls,Basic Wall,External_Masonry_Brick_230mm,Basic Wall,,,,,External_Masonry_Brick_230mm,Wall_BrickMasonry,
Walls,Basic Wall,External_Masonry_Brick_100mm,Basic Wall,,,,,External_Masonry_Brick_100mm,Wall_BrickMasonry,
Walls,Basic Wall,CALCIUM SILICATE BOARD 9MM,Basic Wall,,,,,CALCIUM SILICATE BOARD 9MM,Concrete - Pre Cast,
Walls,Basic Wall,Facade Wall,Basic Wall,,,,,Facade Wall,Feature Facade Wall Paint,
Parking,Lorry Parking Lot,3300x14000,Lorry Parking Lot,,,,,3300x14000,,
Parking,Lorry Parking Lot,3300x12000,Lorry Parking Lot,,,,,3300x12000,,
Parking,Car Parking Standard Lot(Perforated_Slab),2400x4800 (Perforated Slab) Edge,Car Parking Standard Lot(Perforated_Slab),G2020100,Parking Lot Bases & Sub-Bases,Perforated Slab for Car Park,,2400x4800 (Perforated Slab) Edge,,
Parking,Car Parking Standard Lot(Perforated_Slab),2400x4800 (Perforated Slab),Car Parking Standard Lot(Perforated_Slab),G2020100,Parking Lot Bases & Sub-Bases,Perforated Slab for Car Park,,2400x4800 (Perforated Slab),,
Parking,Handicap Parking Lot,3600X4800 (Disable Parking Lot),Handicap Parking Lot,G2020140,,,,3600X4800 (Disable Parking Lot),,
Parking,Car Parking Standard Lot,2400X4800,Car Parking Standard Lot,G2020110,,,,2400X4800,,
Parking,Motorcycle Parking Lot,800x2400,Motorcycle Parking Lot,,,,,800x2400,,
Parking,,,wheelstop,,,,,,,
Site,Chain Link Fence Adaptive,Chain Link Fence Adaptive Boundary,Chain Link Fence Adaptive,,,,,Chain Link Fence Adaptive Boundary,,
Site,Vehicle Barrier,Barrier 4000L,Vehicle Barrier,,,,,Barrier 4000L,,
Site,,,Fire Hydrant,,,,,,,
Site,,,Road Mark Arrow,,,,,,,
Site,,,Forklift_5151,,,,,,,
Generic Models,,,Grating,,,,,,,
Generic Models,,,Platform_lift_10526,,,,,,,
Generic Models,,,jtc signage option B,,,,,,,
Plumbing Fixtures,,,Hdcap Bs 2d,,,,,,,
Plumbing Fixtures,Hdcap Wc 2d,Hdcap Wc 2d,Hdcap Wc 2d,,,,,Hdcap Wc 2d,,
Plumbing Fixtures,,,Hdcap Bs 2d1,,,,,,,
Planting,,,Tree,,,,,,,
Planting,,,Tree 1,,,,,,,
Planting,,,Tree 2,,,,,,,
Doors,Sub Timber Single Door,RISER SINGLE DOOR EXTERNAL 600,Sub Timber Single Door,,,METAL DOOR,,RISER SINGLE DOOR EXTERNAL 600,,
Doors,Sub Timber Single Door,1000x1700,Sub Timber Single Door,,,TIMBER DOOR,,1000x1700,,
Doors,Sub 2 Timber Single Door,1000x2200,Sub 2 Timber Single Door,,,TIMBER DOOR,,1000x2200,,
Doors,Louvre Door Sub,Louvre Door Sub,Louvre Door Sub,,,,,Louvre Door Sub,,
Doors,Timber Single Door With Louver Handicap,1000x2200,Timber Single Door With Louver Handicap,,,TIMBER DOOR WITH TIMBER LOUVRE,,1000x2200,,
Doors,Timber Double Door,1100x2200,Timber Double Door,,,TIMBER DOOR,,1100x2200,,
Doors,Timber Single Door1,1000x2200,Timber Single Door1,,,TIMBER DOOR,,1000x2200,,
Doors,Timber Single Door1,300x2200,Timber Single Door1,,,TIMBER DOOR,,300x2200,,
Doors,Timber Single Door1,600x2200,Timber Single Door1,,,TIMBER DOOR,,600x2200,,
Doors,Sub. Alum. Single Door Wtih Vision Panel,1000x2200-P,Sub. Alum. Single Door Wtih Vision Panel,,,METAL DOOR,,1000x2200-P,,
Doors,Sub Timber Double Door,1800x2100,Sub Timber Double Door,,,DOOR TO GENSET,,1800x2100,,
Doors,Timber Single Door,RISER SINGLE DOOR INTERNAL,Timber Single Door,,,TIMBER DOOR,,RISER SINGLE DOOR INTERNAL,,
Doors,Timber Single Door,RISER SINGLE DOOR EXTERNAL 600,Timber Single Door,,,METAL DOOR,,RISER SINGLE DOOR EXTERNAL 600,,
Doors,Alum. Single Door Wtih Vision Panel,1100x2200-P-1HR,Alum. Single Door Wtih Vision Panel,,,METAL DOOR,,1100x2200-P-1HR,,
Doors,Ground Floor Main Door Type A,Ground Floor Main Door Type A,Ground Floor Main Door Type A,,,,,Ground Floor Main Door Type A,,
Doors,Ground Floor Main Door Type B,Ground Floor Main Door Type B,Ground Floor Main Door Type B,,,,,Ground Floor Main Door Type B,,
Doors,Timber Single Door With Louver,1000x2200,Timber Single Door With Louver,,,TIMBER DOOR WITH TIMBER LOUVRE,,1000x2200,,
Windows,Vent Block,2000x600,Vent Block,,,,,2000x600,,"Concrete, Precast"
Windows,Interior Alum.Window Panel Sub,Interior Alum.Window Panel Sub,Interior Alum.Window Panel Sub,,,,,Interior Alum.Window Panel Sub,,
Windows,Interior Alum.Window Panel Sliding Sub,Interior Alum.Window Panel Sliding Sub,Interior Alum.Window Panel Sliding Sub,,,,,Interior Alum.Window Panel Sliding Sub,,
Windows,Interior Alum.Window Panel 3 Sliding Sub,Interior Alum.Window Panel 3 Sliding Sub,Interior Alum.Window Panel 3 Sliding Sub,,,,,Interior Alum.Window Panel 3 Sliding Sub,,
Windows,Exterior Alum.Window Panel,Exterior Alum.Window Panel,Exterior Alum.Window Panel,,,,,Exterior Alum.Window Panel,,
Windows,Exterior Alum.Window Panel,Exterior Alum.Window Panel Top,Exterior Alum.Window Panel,,,,,Exterior Alum.Window Panel Top,,
Windows,Toilet Window,Toilet Window,Toilet Window,,,,,Toilet Window,,
Windows,Exterior Alum.Window 3 Panel 2,Exterior Alum.Window Panel,Exterior Alum.Window 3 Panel 2,,,,,Exterior Alum.Window Panel,,
Walls,Basic Wall,External Pre-Cast Concrete 250mm,Basic Wall,,,,,External Pre-Cast Concrete 250mm,Concrete - Pre Cast,
Walls,Basic Wall,Internal_RC_200mm,Basic Wall,,,,,Internal_RC_200mm,Wall_Concrete,
Walls,Basic Wall,Precast Wall 10mm (PANTONE),Basic Wall,,,,,Precast Wall 10mm (PANTONE),PAINT (PANTONE),
Generic Models,Catladder,850,Catladder,E1090900,Other Equipment,UPNOVR Aluminum Ladder as Specified,,850,,
Generic Models,,,BLOCK SIGN  A (650X650mm),,,,,,,
Doors,Sub Timber Single Door,1100x2200,Sub Timber Single Door,,,TIMBER DOOR,,1100x2200,,
Doors,Louvre Door Sub,Louvre Door Sub 2nd,Louvre Door Sub,,,,,Louvre Door Sub 2nd,,
Doors,Timber Single Door1,1100x2200,Timber Single Door1,,,TIMBER DOOR,,1100x2200,,
Windows,Louvre Window Panel,Louvre Window Panel,Louvre Window Panel,,,,,Louvre Window Panel,,
Windows,Louvre Window Panel,Louvre Window Panel 600X600,Louvre Window Panel,,,,,Louvre Window Panel 600X600,,
Windows,Louvre Glass Window Panel,Louvre Glass Window Panel Type B,Louvre Glass Window Panel,,,,,Louvre Glass Window Panel Type B,,
Windows,Interior Alum.Window 2 Panel,Interior Alum.Window 2 Panel,Interior Alum.Window 2 Panel,,,,,Interior Alum.Window 2 Panel,,
Windows,Exterior Alum.Single Window Panel,Exterior Alum.Window Panel Mid,Exterior Alum.Single Window Panel,,,,,Exterior Alum.Window Panel Mid,,
Floors,Precast Slanted @ window1,Precast Slanted @ window,Precast Slanted @ window1,,,,,Precast Slanted @ window,<By Category>,
Generic Models,,,BLOCK SIGN  B (650X650mm),,,,,,,
Doors,Roller Shutter Door with FAP,Roller Shutter Door,Roller Shutter Door with FAP,,,,,Roller Shutter Door,,
Structural Columns,Rectangular and Square Hollow Tubes-Column,TUB50x50x3.2,Rectangular and Square Hollow Tubes-Column,,,,,TUB50x50x3.2,Metal - Steel - 345 MPa,
Floors,Floor,CONCRETE 300mm,Floor,,,,,CONCRETE 300mm,Concrete - Cast-in-Place Concrete,
Floors,Floor,CONCRETE 200mm,Floor,,,,,CONCRETE 200mm,Concrete - Cast-in-Place Concrete,
Walls,Basic Wall,External RC Wall 150mm,Basic Wall,,,,,External RC Wall 150mm,Concrete - Pre Cast,
Walls,Basic Wall,Stack Wall Reinforce Concrete 300mm,Basic Wall,,,,,Stack Wall Reinforce Concrete 300mm,Concrete - Pre Cast,
Site,Chain Link Fence Adaptive,Chain Link Fence Adaptive 2 Post,Chain Link Fence Adaptive,,,,,Chain Link Fence Adaptive 2 Post,,
Site,Chain Link Fence Adaptive,Chain Link Fence Adaptive,Chain Link Fence Adaptive,,,,,Chain Link Fence Adaptive,,
Site,,,Planter 2,,,,,,,
Site,,,DOORS,,,,,,,
Generic Models,,,Davit Bases,,,,,,,
Doors,Alum. Single Door Wtih Vision Panel,1000x2200-P 1HR,Alum. Single Door Wtih Vision Panel,,,METAL DOOR,,1000x2200-P 1HR,,
Windows,Exterior Alum.Window Panel,Exterior Alum.Window Panel Mid With KP,Exterior Alum.Window Panel,,,,,Exterior Alum.Window Panel Mid With KP,,
Specialty Equipment,,,Cage Ladder,,,,,,,
Floors,Floor,Concrete Slab 100MM,Floor,,,,,Concrete Slab 100MM,Concrete - Pre Cast,
Roofs,,,Concrete Slabs2,,,,,,,
Walls,Basic Wall,External Pre-Cast Concrete 150mm,Basic Wall,,,,,External Pre-Cast Concrete 150mm,<By Category>,
Walls,Basic Wall,BRC_FENCE_ROOF,Basic Wall,,,,,BRC_FENCE_ROOF,BRC,
Site,Chain Link Fence Adaptive,BRC Link Fence,Chain Link Fence Adaptive,,,,,BRC Link Fence,,
Site,Chain Link Fence Adaptive,Chain Link Fence Adaptive 1.8m,Chain Link Fence Adaptive,,,,,Chain Link Fence Adaptive 1.8m,,
Site,,,Open Canal,,,,,,,
Site,,,BRC_door,,,,,,,
Generic Models,,,Cat Ladder Hatch,,,,,,,
Generic Models,,,BLOCK SIGN  B (800X800mm),,,,,,,
Generic Models,,,BLOCK SIGN  A (800X800mm),,,,,,,
Generic Models,,,GUARD MESH 1400x1300MM,,,,,,,
