Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Generic Models,FT01-L1a,NL-WD-LW-3P-FP-3070W*3350H,FT01-L1a,,,3070 X 3350,Louver,NL-WD-LW-3P-FP-3070W*3350H,,Aluminum
Generic Models,FT01-L1a,NL-WD-LW-3P-FP-2575W*3350H,FT01-L1a,,,2575 X 3350,Louver,NL-WD-LW-3P-FP-2575W*3350H,,Aluminum
Generic Models,FT01-LV4SBL,NL-WD-LW-3P-FP-2951W*3350H,FT01-LV4SBL,,,2951 X 3350,Louver,NL-WD-LW-3P-FP-2951W*3350H,,Aluminum
Generic Models,FT01-LV4SBL,NL-WD-LW-3P-FP-2953W*3200H,FT01-LV4SBL,,,2953 X 3200,Louver,NL-WD-LW-3P-FP-2953W*3200H,,Aluminum
Generic Models,FT01-LV4SBL,NL-WD-LW-3P-FP-2944W*2370H,FT01-LV4SBL,,,2944 X 2370,Louver,NL-WD-LW-3P-FP-2944W*2370H,,Aluminum
Generic Models,FT01-LV4SBL,NL-WD-LW-3P-FP-2944W*1860H,FT01-LV4SBL,,,2944 X 1860,Louver,NL-WD-LW-3P-FP-2944W*1860H,,Aluminum
Generic Models,FT02-LV1,NL-WD-LW-1P-FP-1050W*2750H,FT02-LV1,,,1050 X 2750,Louver,NL-WD-LW-1P-FP-1050W*2750H,,Aluminum
Generic Models,FT02-LV1,NL-WD-LW-1P-FP-750W*2750H,FT02-LV1,,,750 X 2750,Louver,NL-WD-LW-1P-FP-750W*2750H,,Aluminum
Generic Models,FT02-LV1,NL-WD-LW-1P-FO-1378W*885H,FT02-LV1,,,1378 X 885,Louver,NL-WD-LW-1P-FO-1378W*885H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*2750H,FT02-LV2,,,1050 X 2750,Louver,NL-WD-LW-1P-FP-1050W*2750H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*2900H,FT02-LV2,,,1050 X 2900,Louver,NL-WD-LW-1P-FP-1050W*2900H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1300W*3251H,FT02-LV2,,,1300 x 3251,Louver,NL-WD-LW-1P-FP-1300W*3251H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-750W*2900H,FT02-LV2,,,750 X 2900,Louver,NL-WD-LW-1P-FP-750W*2900H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*2285H,FT02-LV2,,,1050 X 2285,Louver,NL-WD-LW-1P-FP-1050W*2285H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*1760H,FT02-LV2,,,1050 X 1760,Louver,NL-WD-LW-1P-FP-1050W*1760H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*2300H,FT02-LV2,,,1050 X 2300,Louver,NL-WD-LW-1P-FP-1050W*2300H,,Aluminum
Generic Models,FT02-LV2,NL-WD-LW-1P-FP-1050W*1775H,FT02-LV2,,,1050 X 1775,Louver,NL-WD-LW-1P-FP-1050W*1775H,,Aluminum
Generic Models,FT02-L1,NL-WD-LW-1P-FP-2030W*1081H,FT02-L1,,,2030 x 1081,Louver,NL-WD-LW-1P-FP-2030W*1081H,,Aluminum
Generic Models,FT02-L1,NL-WD-LW-1P-FP-500W*500H,FT02-L1,,,500 x 500,Louver,NL-WD-LW-1P-FP-500W*500H,,Aluminum
Generic Models,FT02-L1,NL-WD-LW-1P-FP-950W*1400H,FT02-L1,,,950 x 1400,Louver,NL-WD-LW-1P-FP-950W*1400H,,<By Category>
Generic Models,FT02-LV10B,NL-WD-LW-1P-FP-1300W*3700H,FT02-LV10B,,,1300 X 3700,Louver,NL-WD-LW-1P-FP-1300W*3700H,,Aluminum
Generic Models,FT01-LV1,NL-WD-LW-3P-FP-3115W*2300H,FT01-LV1,,,3115 X 2300,Louver,NL-WD-LW-3P-FP-3115W*2300H,,Aluminum
Generic Models,FT01-LV1,NL-WD-LW-3P-FP-3160W*2300,FT01-LV1,,,3160 X 2300,Louver,NL-WD-LW-3P-FP-3160W*2300,,Aluminum
Generic Models,FT01-LV1,NL-WD-LW-3P-FP-2715W*2300H,FT01-LV1,,,2715 X 2300,Louver,NL-WD-LW-3P-FP-2715W*2300H,,Aluminum
Generic Models,FT01-LV2-S-FAP2,NL-WD-LW-3P-FP/SL-3160W*2300H,FT01-LV2-S-FAP2,,,3160 X 2300,Louver  with FAP Window,NL-WD-LW-3P-FP/SL-3160W*2300H,,Aluminum
Generic Models,FT01-LV2-S,NL-WD-LW-3P-FP/SL-3160W*2300H,FT01-LV2-S,,,3160 X 2300,Louver  with Glass Window,NL-WD-LW-3P-FP/SL-3160W*2300H,,Aluminum
Generic Models,FT01-LV2-S,NL-WD-LW-3P-FP/SL-3470W*2300H,FT01-LV2-S,,,3470 X 2300,Louver  with Glass Window,NL-WD-LW-3P-FP/SL-3470W*2300H,,Aluminum
Generic Models,FT01-LV2-S-FAP,NL-WD-LW-3P-FP/SL-3160W*2300H,FT01-LV2-S-FAP,,,3160 X 2300,Louver  with FAP Window,NL-WD-LW-3P-FP/SL-3160W*2300H,,Aluminum
Generic Models,FT01-LV2-S-FAP,NL-WD-LW-3P-FP/SL-3230W*2300H,FT01-LV2-S-FAP,,,3230 X 2300,Louver  with FAP Window,NL-WD-LW-3P-FP/SL-3230W*2300H,,Aluminum
Generic Models,FT01-LV4,NL-WD-LW-3P-FP-3070W*3200H,FT01-LV4,,,3070 X 3200,Louver,NL-WD-LW-3P-FP-3070W*3200H,,Aluminum
Generic Models,FT01-LV4,NL-WD-LW-3P-FP-2580W*3200H,FT01-LV4,,,2580 X 3200,Louver,NL-WD-LW-3P-FP-2580W*3200H,,Aluminum
Generic Models,FT01-LV4,NL-WD-LW-FP-3070H*2370W,FT01-LV4,,,3070 X 2370,Louver,NL-WD-LW-FP-3070H*2370W,,Aluminum
Generic Models,FT01-LV4,NL-WD-LW-3P-FP-2580W*2370H,FT01-LV4,,,2580 X 2370,Louver,NL-WD-LW-3P-FP-2580W*2370H,,Aluminum
Generic Models,FT01-LV4,NL-WD-LW-3P-FP-3070W*1860H,FT01-LV4,,,3070 X 1860,Louver,NL-WD-LW-3P-FP-3070W*1860H,,Aluminum
Generic Models,FT01-LV4,NL-WD-LW-FP-2580W*1680H,FT01-LV4,,,2580 X 1860,Louver,NL-WD-LW-FP-2580W*1680H,,Aluminum
Generic Models,FT01-LV3,NL-WD--LW-FP-2630H*1037H,FT01-LV3,,,2360 X 1037,Louver,NL-WD--LW-FP-2630H*1037H,,Aluminum
Generic Models,FT01-LV3,NL-WD-LW-2P-FP-2900W*1037H,FT01-LV3,,,2990 X 1037,Louver,NL-WD-LW-2P-FP-2900W*1037H,,Aluminum
