Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Pipes,,,Pipe Types,,,,,,,
Pipe Accessories,,,Arup_Meter_Water_SG,,,,,,,
Pipe Accessories,DFP-150MM Isolation-Valve - Flanged,150 mm,DFP-150MM Isolation-Valve - Flanged,,,,,150 mm,,
Pipe Accessories,DFP-150MM Isolation-Valve - Flanged,100 mm,DFP-150MM Isolation-Valve - Flanged,,,HYDRANT SLUICE VALVE,,100 mm,,
Pipe Accessories,,,PA-Vortex Inhibitor,,,,,,,
Pipe Accessories,DFP - OS&Y Gate Valve,DN200,DFP - OS&Y Gate Valve,D2090800,,Gate Valves,,DN200,,
Pipe Accessories,DFP - OS&Y Gate Valve,DN150,DFP - OS&Y Gate Valve,,,Flanged Gate Valve,,DN150,,
Pipe Accessories,UG Fire Hydrant Pit,150 mm,UG Fire Hydrant Pit,,,HYDRANT SLUICE VALVE  (Under Ground),,150 mm,,
Pipe Accessories,Arup-PA-Gate Valve - 20-200 mm(poc)- Flanged,200 mm,Arup-PA-Gate Valve - 20-200 mm(poc)- Flanged,,,,,200 mm,,
Pipe Accessories,Check Valve - 50-300 mm - Flanged_OMC1,65mm,Check Valve - 50-300 mm - Flanged_OMC1,,,,,65mm,,
Pipe Accessories,Arup-PA-Gate Valve - 50-150 mm - Flanged_OMC1,65mm,Arup-PA-Gate Valve - 50-150 mm - Flanged_OMC1,,,,,65mm,,
Pipe Accessories,Pipe Wall Opening w Puddle Flange,Fire Protection,Pipe Wall Opening w Puddle Flange,,,Wall opening w/ puddle flange,,Fire Protection,,<By Category>
Pipe Accessories,Normal Pipe Wall Opening,Fire Protection,Normal Pipe Wall Opening,,,Wall opening w/ puddle flange,,Fire Protection,,<By Category>
Pipe Accessories,,,Breeching inlet,,,,,,,
Pipe Accessories,,,DFP_STOP VALVE-25MM,,,,,,,
Pipe Accessories,DFP- Strainer - Flanged,200 mm,DFP- Strainer - Flanged,,,Strainer,,200 mm,,
Pipe Accessories,FPS-SPR-GCL-M_Plumbing - Ball Float Valve1,FPS-VVE-KEL-Ball Float Valve 65-150 mm 2,FPS-SPR-GCL-M_Plumbing - Ball Float Valve1,,,Float Valve,,FPS-VVE-KEL-Ball Float Valve 65-150 mm 2,,
Pipe Accessories,DFP - Check Value Flange,TRANSFER 150 mm,DFP - Check Value Flange,,,,,TRANSFER 150 mm,,
Pipe Accessories,,,DFP FLEXIBLE Joints,,,,,,,
Pipe Accessories,DFP-Strainer - Flanged,50 mm,DFP-Strainer - Flanged,,,,,50 mm,,
Pipe Accessories,DFP-Gate Valve,50 mm,DFP-Gate Valve,,,,,50 mm,,
Pipe Accessories,DFP-Gate Valve,25 mm,DFP-Gate Valve,,,,,25 mm,,
Pipe Accessories,O&O_Pressure Gauge,50 mm Dial - 8 mm,O&O_Pressure Gauge,,,Pressure Guage,,50 mm Dial - 8 mm,,
Pipe Accessories,O&O_Check Valve - 10-100 mm - Threaded,50 mm,O&O_Check Valve - 10-100 mm - Threaded,,,,,50 mm,,
Pipe Accessories,,,Pressure_Gauge-AGF-Model_7500,,,,,,,
Pipe Accessories,,,Pressure_Gauge-test,,,,,,,
Pipe Fittings,,,Arup_Pipe Fitting Elbow_Galvanised Malleable Iron Threaded,,,,,,,
Pipe Fittings,,,Arup_Pipe Fitting Reducer_Galvanised Malleable Iron Threaded,,,,,,,
Pipe Fittings,,,Arup_Pipe Fitting Union_Galvanised Flanged,,,,,,,
Pipe Fittings,,,Arup_Pipe Fitting Elbow_Mild Steel Threaded,,,,,,,
Pipe Fittings,,,Arup_Pipe Fitting Reducer_Condentric_Carbon Steel Butt Welded,,,,,,,
Pipe Fittings,,,Arup_Pipe Fitting Flange_Galvanised Flanged,,,,,,,
Pipe Fittings,,,DFP-Fitting Elbow Galvanised Flanged,,,,,,,
Pipe Fittings,,,Arup_Pipe Fitting Elbow_Mild Steel Threaded1,,,,,,,
Pipe Fittings,,,DFP - Pipe Fitting Tee Galvanised Flanged,,,,,,,
Pipe Fittings,,,Ductile  iron Elbow fitting,,,,,,,
Pipe Fittings,,,Arup-PF-Tee Generic-AIRAH Kt2,,,,,,,
Pipe Fittings,,,Duck foot bend,,,,,,,
Pipe Fittings,,,Arup_Pipe Fitting Flange_Galvanised Puddle Flange,,,,,,,
Pipe Fittings,,,OOG_PF_GMI_Threaded Tee Branch Reduced,,,,,,,
Pipe Fittings,,,DFP_Elbow Reducing-Screwed,,,,,,,
Pipe Fittings,,,DFP_UNION-25MM,,,,,,,
Pipe Fittings,,,Arup_Pipe Fitting Reducer_Copper Press Fit,,,,,,,
Pipe Fittings,,,Arup_Pipe Fitting Cap_Galvanised Flanged,,,,,,,
