Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Walls,Basic Wall,LCBC_W3G_10P_ALC_10P_220mm,Basic Wall,3C:CN60,,200mm THK PC WALL,,LCBC_W3G_10P_ALC_10P_220mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3E_10P_ALC_10P_220mm,Basic Wall,3C:CN61,,200mm THK PC WALL,,LCBC_W3E_10P_ALC_10P_220mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3E_10P_ALC_210mm,Basic Wall,3C:CN61,,200mm THK PC WALL,,LCBC_W3E_10P_ALC_210mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3B_10P_ALC_10P_170mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_W3B_10P_ALC_10P_170mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3C_ALC_150mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_W3C_ALC_150mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3E_ALC_200mm,Basic Wall,3C:CN61,,200mm THK PC WALL,,LCBC_W3E_ALC_200mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3A_10P_ALC_160mm,Basic Wall,03:CN60,,150mm THK PC WALL,,LCBC_W3A_10P_ALC_160mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W2A_ALC_100mm,Basic Wall,04:MS13,,PRECISION BLOCK WALL-100THK,,LCBC_W2A_ALC_100mm,00_L166_BLOCK WALL,
Walls,Basic Wall,LCBC_W3B_10P_ALC_160mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_W3B_10P_ALC_160mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W2G_10P_ALC_210mm,Basic Wall,04:MS13,,200mm THK PC WALL,,LCBC_W2G_10P_ALC_210mm,00_L166_BLOCK WALL,
Walls,Basic Wall,LCBC_W2G_10P_ALC_95I_305mm,Basic Wall,04:MS13,,200mm THK PC WALL,,LCBC_W2G_10P_ALC_95I_305mm,00_L166_BLOCK WALL,
Walls,Basic Wall,LCBC_W2G_10P_ALC_10P_220mm,Basic Wall,04:MS13,,200mm THK PC WALL,,LCBC_W2G_10P_ALC_10P_220mm,00_L166_BLOCK WALL,
Walls,Basic Wall,LCBC_W2G_10P_ALC_20P_230mm,Basic Wall,04:MS13,,200mm THK PC WALL,,LCBC_W2G_10P_ALC_20P_230mm,00_L166_BLOCK WALL,
Walls,Basic Wall,LCBC_W2A_10P_ALC_110mm,Basic Wall,04:MS13,,PRECISION BLOCK WALL-100THK,,LCBC_W2A_10P_ALC_110mm,00_L166_BLOCK WALL,
Walls,Basic Wall,LCBC_W3C_15P_ALC_20P_185mm,Basic Wall,3C:CN60,,150mm THK PC WALL,,LCBC_W3C_15P_ALC_20P_185mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3F_10P_ALC_15P_225mm,Basic Wall,04:MS13,,200mm THK PC WALL,,LCBC_W3F_10P_ALC_15P_225mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3G_10P_ALC_20P_230mm,Basic Wall,3C:CN60,,200mm THK PC WALL,,LCBC_W3G_10P_ALC_20P_230mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3G_10P_ALC_25P_235mm,Basic Wall,3C:CN60,,200mm THK PC WALL,,LCBC_W3G_10P_ALC_25P_235mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3A_20P_ALC_170mm,Basic Wall,03:CN60,,150mm THK PC WALL,,LCBC_W3A_20P_ALC_170mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3F_10P_ALC_10P_220mm,Basic Wall,04:MS13,,200mm THK PC WALL,,LCBC_W3F_10P_ALC_10P_220mm,00_L166_PRECAST WALL,
Walls,Basic Wall,LCBC_W3A_10P_ALC_20P_180mm,Basic Wall,03:CN60,,150mm THK PC WALL,,LCBC_W3A_10P_ALC_20P_180mm,00_L166_PRECAST WALL,
