Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Floors,Floor,LCBC_Struct_FL_250mm,Floor,,,250mm THK RC FLOOR SLAB,,LCBC_Struct_FL_250mm,ST-CONC,
Floors,Floor,LCBC_Struct_FL_200mm,Floor,,,200mm THK RC FLOOR SLAB,,LCBC_Struct_FL_200mm,ST-CONC,
Floors,Floor,LCBC_Struct_PLINTH_150mm,Floor,,,150mm THK RC PLINTH,,LCBC_Struct_PLINTH_150mm,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,400Dx200W,LCBC_Concrete-Rectangular Beam1,,,,,400Dx200W,ST-CONC,
Structural Framing,LCBC_Concrete-Rectangular Beam1,400Dx300W,LCBC_Concrete-Rectangular Beam1,,,,,400Dx300W,ST-CONC,
Structural Framing,LCBC_Rectangular and Square Hollow Sections,RHS200x200x6,LCBC_Rectangular and Square Hollow Sections,,,,,RHS200x200x6,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Rectangular and Square Hollow Sections,RHS250x65x6,LCBC_Rectangular and Square Hollow Sections,,,,,RHS250x65x6,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Rectangular and Square Hollow Sections,RHS300x300x8,LCBC_Rectangular and Square Hollow Sections,,,,,RHS300x300x8,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Rectangular and Square Hollow Sections,RHS100x100x6,LCBC_Rectangular and Square Hollow Sections,,,,,RHS100x100x6,Metal - Steel - 345 MPa,
Structural Framing,I-Beams,I150x150x31,I-Beams,,,,,I150x150x31,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB457x191x67,LCBC_Universal Beams,,,,,UB457x191x67,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB254x146x31,LCBC_Universal Beams,,,,,UB254x146x31,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Universal Beams,UB203x133x25,LCBC_Universal Beams,,,,,UB203x133x25,Metal - Steel - 345 MPa,
Structural Framing,LCBC_Precast Edge-Beam,1000x500,LCBC_Precast Edge-Beam,,,,,1000x500,ST-PRECAST CONC,
Structural Columns,LCBC_BMU_Frame,LCBC_BMU_Frame,LCBC_BMU_Frame,,,,,LCBC_BMU_Frame,FN-METAL (ALUM),
Structural Columns,LCBC_UC-Universal Columns-Column,UC254x254x73,LCBC_UC-Universal Columns-Column,,,,,UC254x254x73,Metal - Steel - 345 MPa,
Structural Columns,LCBC_BMU_Frame (F3),LCBC_BMU_Frame (F3),LCBC_BMU_Frame (F3),,,,,LCBC_BMU_Frame (F3),FN-METAL (ALUM),
Structural Columns,LCBC_BMU_Frame (F2),LCBC_BMU_Frame (F2),LCBC_BMU_Frame (F2),,,,,LCBC_BMU_Frame (F2),FN-METAL (ALUM),
Structural Columns,LCBC_BMU_Frame (F1),LCBC_BMU_Frame (F1),LCBC_BMU_Frame (F1),,,,,LCBC_BMU_Frame (F1),FN-METAL (ALUM),
Structural Columns,LCBC_BMU_Frame (F4),LCBC_BMU_Frame (F4),LCBC_BMU_Frame (F4),,,,,LCBC_BMU_Frame (F4),FN-METAL (ALUM),
Structural Columns,LCBC_Concrete-Rectangular-Column,200 x 200 (Column Stump),LCBC_Concrete-Rectangular-Column,,,,,200 x 200 (Column Stump),ST-CONC,
Structural Columns,Rectangular and Square Hollow Tubes-Column,SHS 300x300x8,Rectangular and Square Hollow Tubes-Column,,,,,SHS 300x300x8,Metal - Steel - 345 MPa,
Generic Models,LCBC_Opening Floor,LCBC_Floor Opening,LCBC_Opening Floor,,,FLOOR OPENING,,LCBC_Floor Opening,,
Walls,Basic Wall,LCBC_IN_RC KERB_130 x 300H,Basic Wall,B2010120,Ext. Wall - Precast,150mm THK RC KERB,K-4,LCBC_IN_RC KERB_130 x 300H,LCBC_RC KERB,
Walls,Basic Wall,LCBC_IN_RC_PARAPET WALL_200mm,Basic Wall,B1010210,Bearing Walls - CIP,200MM THK PARAPET WALL,,LCBC_IN_RC_PARAPET WALL_200mm,ST-PARAPET WALL,
Walls,Basic Wall,LCBC_IN_RC_PARAPET WALL_150mm,Basic Wall,B1010210,Bearing Walls - CIP,150MM THK PARAPET WALL,,LCBC_IN_RC_PARAPET WALL_150mm,ST-PARAPET WALL,
