Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material
Ducts,,,Rectangular Duct,,,,,,,
Ducts,,,Round Duct,,,,,,,
Electrical Fixtures,,,PB_ELEC_GEN_MCT_Wall Mounted,,,,,,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Weatherproof,230V 13A SSO Metalclad (WP),TEE_Electrical Fixture_SSO_Weatherproof,,,,,230V 13A SSO Metalclad (WP),,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Weatherproof,230V 13A SSO (2G) Metalclad (WP),TEE_Electrical Fixture_SSO_Weatherproof,,,,,230V 13A SSO (2G) Metalclad (WP),,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Weatherproof,230V 13A SSO Standard (WP),TEE_Electrical Fixture_SSO_Weatherproof,,,,,230V 13A SSO Standard (WP),,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Weatherproof,230V 13A SSO (2G) Standard (WP),TEE_Electrical Fixture_SSO_Weatherproof,,,,,230V 13A SSO (2G) Standard (WP),,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Exposed,230V 13A SSO (2G) Metalclad,TEE_Electrical Fixture_SSO_Exposed,,,,,230V 13A SSO (2G) Metalclad,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Exposed,230V 13A SSO Metalclad,TEE_Electrical Fixture_SSO_Exposed,,,,,230V 13A SSO Metalclad,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Exposed,230V 13A SSO (2G) Standard,TEE_Electrical Fixture_SSO_Exposed,,,,,230V 13A SSO (2G) Standard,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 13A SSO Metalclad,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 13A SSO Metalclad,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 13A SSO (2G) Standard,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 13A SSO (2G) Standard,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 13A SSO (2G) Metalclad,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 13A SSO (2G) Metalclad,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 13A SSO Standard,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 13A SSO Standard,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 15A SSO Metalclad,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 15A SSO Metalclad,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed,230V 15A SSO (2G) Metalclad,TEE_Electrical Fixture_SSO_Wall Recessed,,,,,230V 15A SSO (2G) Metalclad,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed_250,230V 13A SSO (2G) Standard,TEE_Electrical Fixture_SSO_Wall Recessed_250,,,,,230V 13A SSO (2G) Standard,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed_250,230V 13A SSO Metalclad,TEE_Electrical Fixture_SSO_Wall Recessed_250,,,,,230V 13A SSO Metalclad,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Wall Recessed_250,230V 13A SSO (2G) Metalclad,TEE_Electrical Fixture_SSO_Wall Recessed_250,,,,,230V 13A SSO (2G) Metalclad,,
Electrical Fixtures,,,PB_ELEC_GEN_Ceeform_Wall Mounted,,,,,,,
Electrical Fixtures,,,PB_ELEC_GEN_Isolator_Wall Surface,,,,,,,
Electrical Fixtures,,,PB_ELEC_GEN_Earth Bar_Wall Mounted,,,,,,,
Electrical Fixtures,,,PB_ELEC_LTG_Fan_Wall,,,,,,,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Weatherproof_250,230V 13A SSO Metalclad (WP),TEE_Electrical Fixture_SSO_Weatherproof_250,,,,,230V 13A SSO Metalclad (WP),,
Electrical Fixtures,TEE_Electrical Fixture_SSO_Weatherproof_250,230V 13A SSO (2G) Standard (WP),TEE_Electrical Fixture_SSO_Weatherproof_250,,,,,230V 13A SSO (2G) Standard (WP),,
Electrical Fixtures,PB_ELEC_GEN_Connector Unit_Wall Mounted,230V 13A CU w/o Switch,PB_ELEC_GEN_Connector Unit_Wall Mounted,,,,,230V 13A CU w/o Switch,,
Electrical Fixtures,,,PB_ELEC_GEN_Earth Pit_Non-Hosted,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_63A IP55,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_250,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_200A KT06,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_630A KT08,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_800A KT09,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_100A KT03_250,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_315A KT07,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_100A KT03,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_80A KT03,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_FTP,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_160A KT05,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Heavy Duty Earthpit_Round,,,,,,,
Electrical Fixtures,,,TEE_Electrical Fixture_Isolator_400A KT07,,,,,,,
Duct Fittings,,,PB_ELEC_LPS_Elbow_Bonding,,,,,,,
Duct Fittings,,,PB_ELEC_Rectangular Elbow - Radius,,,,,,,
Duct Fittings,,,PB_ELEC_LPS_Cross_Down Conductor,,,,,,,
Duct Fittings,,,PB_ELEC_Rectangular to Round Transition - Angle,,,,,,,
Duct Fittings,,,PB_ELEC_LPS_Tee_Down Conductor,,,,,,,
Duct Fittings,,,PB_ELEC_LPS_Tee_Bonding,,,,,,,
Duct Fittings,,,PB_ELEC_Rectangular Elbow - Mitered,,,,,,,
Duct Fittings,,,PB_ELEC_LPS_Elbow_Down Conductor,,,,,,,
Duct Fittings,,,PB_ELEC_Rectangular Transition - Angle,,,,,,,
Duct Fittings,,,PB_ELEC_LPS_Cross_Bonding,,,,,,,
Duct Fittings,,,PB_ELEC_LPS_Air Rod_Elbow,,,,,,,
Duct Fittings,,,PB_ELEC_Rectangular Tee,,,,,,,
Electrical Equipment,,,PB_ELEC_Battery Accessory_Non-Hosted,,,,,,,
Electrical Equipment,,,MDB-G177,,,,,,,
Electrical Equipment,,,MDB-G133,,,,,,,
Electrical Equipment,,,MDB-G147,,,,,,,
Electrical Equipment,,,Bus Duct 600A5,,,,,,,
Electrical Equipment,,,MDB-G237,,,,,,,
Electrical Equipment,,,Bus Duct 600A12,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MDB EMDB-L1-G201,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MP-L1-T001 T003,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-EMDB-L1-G202,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-DB-L1-G101 G102,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MDB-L1-G202,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-DB-L2-L8 G101 G102,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Control Panel,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-ELDB-L2-G401,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-EDB-G101 G102,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-EMDB-L2-G201,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MDB-L2-G202,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-ELSB-L2-G401,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MP-L2-T002,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MDB-L3 To L6-G201,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MP-L3-T001,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MDB-L3-G202,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MP-L3-T002,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MDB-L2-G201,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_UMDB-L1-SER,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_USB-L1-SER,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNCCP-ESB-L1-SER,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Test Link Box,,,,,,,
Electrical Equipment,,,Electrical Equipment MCC211,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_DBE-SS,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC-HVSB-B1-G001,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC-HVSB-B1-G002,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC-HVSB-B1-MCC,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC-HVSB-B1-G003,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Battery Rack,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Marshalling Box,,,,,,,
Electrical Equipment,,,TEE_Generic Models_41x41mm UNISTRUT,,,,,,,
Electrical Equipment,,,PB_ELEC_Three Phase Distribution Panel_Wall Mounted,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Fuel Pump Transfer,,,,,,,
Electrical Equipment,,,TEE_Generic Models_M12 ROD-2,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Ceiling Fan (Dia3660),,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Ceiling Fan (Dia3050),,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Ceiling Fan (Dia4270),,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Transformer_1LKR202848,,,,,,,
Electrical Equipment,,,TEE_Generic Models_41x41mm UNISTRUT Module,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_800 kVA,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-GCP-L9-MCC,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MSB-B1-G005,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MSB-B1-G006,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MSB-B1-G003,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MSB-B1-G004,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MSB-B1-G001,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-MSB-B1-G002,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNCCP-MSB-B1-G001,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNCCP-MSB-B1-G002,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC2-MSB-B1-G006,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC2-MSB-B1-G005,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC2-MSB-B1-G004,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC2-MSB-B1-G003,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC2-MSB-B1-G002,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC2-MSB-B1-G001,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC2-EMSB-B1-G001,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC2-EMSB-B1-G002,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-GCP-L9-01,,,,,,,
Electrical Equipment,,,Bus Duct 600A1,,,,,,,
Electrical Equipment,,,Bus Duct 600A4,,,,,,,
Electrical Equipment,,,Bus Duct 600A6,,,,,,,
Electrical Equipment,,,Bus Duct 600A7,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_2000 kVA,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_MCC-B1-01,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_UPS,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_ISOL Transformer,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Ceiling Fan (Dia5490)_01,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-ELSB-LRF-G403,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-ELDB-LRF-G403,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-ELSB-LR-G404,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-ELSB-LRF-G402,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-ELDB-LRF-G402,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-ELSB-LRF-G401,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNC1-ELDB-LRF-G401,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Tap Off Unit,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNCCP-OG-TP-G102 (WP),,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_Battery Cabinet,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNCCP-MDB-B1-G201,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNCCP-EDB-B1-XXXX,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNCCP-EMDB-B1-G301,,,,,,,
Electrical Equipment,,,TEE_Electrical Equipment_WNCCP-MDB-B1-G101 G102,,,,,,,
