"Family","SubFamily","ObjectGroup","ObjectName","ObjectID","Assembly Code","Assembly Description","Description","Type Comments","Type Name","Structural Material","Material"
"Pipes","","","Pipe Types","[2952363]","","","","","","","",""
"Pipes","","","Pipe Types","[2952364]","","","","","","","",""
"Pipes","","","Pipe Types","[3267586]","","","","","","","",""
"Pipes","","","Pipe Types","[3267587]","","","","","","","",""
"Pipes","","","Pipe Types","[6203351]","","","","","","","",""
"Pipes","","","Pipe Types","[6203352]","","","","","","","",""
"Pipes","","","Pipe Types","[6203353]","","","","","","","",""
"Pipes","","","Pipe Types","[6203354]","","","","","","","",""
"Pipes","","","Pipe Types","[6208186]","","","","","","","",""
"Pipes","","","Pipe Types","[6208187]","","","","","","","",""
"Pipes","","","Pipe Types","[6208188]","","","","","","","",""
"Pipes","","","Pipe Types","[6208189]","","","","","","","",""
"Pipes","","","Pipe Types","[6208193]","","","","","","","",""
"Pipes","","","Pipe Types","[6208194]","","","","","","","",""
"Pipes","","","Pipe Types","[6213123]","","","","","","","",""
"Pipes","","","Pipe Types","[6213124]","","","","","","","",""
"Pipes","","","Pipe Types","[6222271]","","","","","","","",""
"Pipes","","","Pipe Types","[6222272]","","","","","","","",""
"Pipes","","","Pipe Types","[6222273]","","","","","","","",""
"Pipes","","","Pipe Types","[6222274]","","","","","","","",""
"Pipes","","","Pipe Types","[6222613]","","","","","","","",""
"Pipes","","","Pipe Types","[6222614]","","","","","","","",""
"Pipes","","","Pipe Types","[6223270]","","","","","","","",""
"Pipes","","","Pipe Types","[6223271]","","","","","","","",""
"Pipes","","","Pipe Types","[6223272]","","","","","","","",""
"Pipes","","","Pipe Types","[6223273]","","","","","","","",""
"Pipes","","","Pipe Types","[6733876]","","","","","","","",""
"Pipes","","","Pipe Types","[6733877]","","","","","","","",""
"Pipes","","","Pipe Types","[6733884]","","","","","","","",""
"Pipes","","","Pipe Types","[6733885]","","","","","","","",""
"Pipes","","","Pipe Types","[7323518]","","","","","","","",""
"Pipes","","","Pipe Types","[7323519]","","","","","","","",""
"Pipes","","","Pipe Types","[7323520]","","","","","","","",""
"Pipes","","","Pipe Types","[7323521]","","","","","","","",""
"Pipes","","","Pipe Types","[7323523]","","","","","","","",""
"Pipes","","","Pipe Types","[7323524]","","","","","","","",""
"Pipes","","","Pipe Types","[7323596]","","","","","","","",""
"Pipes","","","Pipe Types","[7323597]","","","","","","","",""
"Pipes","","","Pipe Types","[7323598]","","","","","","","",""
"Pipes","","","Pipe Types","[7323599]","","","","","","","",""
"Pipes","","","Pipe Types","[7360995]","","","","","","","",""
"Pipes","","","Pipe Types","[7360996]","","","","","","","",""
"Pipes","","","Pipe Types","[7360997]","","","","","","","",""
"Pipes","","","Pipe Types","[7360998]","","","","","","","",""
"Pipes","","","Pipe Types","[7361357]","","","","","","","",""
"Pipes","","","Pipe Types","[7361358]","","","","","","","",""
"Pipes","","","Pipe Types","[7361929]","","","","","","","",""
"Pipes","","","Pipe Types","[7361930]","","","","","","","",""
"Pipes","","","Pipe Types","[7361933]","","","","","","","",""
