Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Prediction
Walls,Basic Wall,LC02(E),Basic Wall [7332952],B2010100,Exterior Wall Construction,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC02(E),100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC02(E),Basic Wall [7332953],B2010100,Exterior Wall Construction,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC02(E),100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC02,Basic Wall [789677],B2010100,Exterior Wall Construction,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC02,100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC02,Basic Wall [789846],B2010100,Exterior Wall Construction,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC02,100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC01 (F) @ 15MMTHK FIN,Basic Wall [814006],B2010100,Exterior Wall Construction,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01 (F) @ 15MMTHK FIN,100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,RC+1P,Basic Wall [919851],B2010100,Exterior Wall Construction,350MM THK RC WALL,MCR17,RC+1P,Concrete - Cast In Situ,,
Walls,Basic Wall,RC,Basic Wall [919855],,,350MM THK RC WALL,MCR17,RC,Concrete - Cast In Situ,,
Walls,Basic Wall,LC01(F),Basic Wall [1100295],,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F),100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC01 (3.1),Basic Wall [5911832],,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01 (3.1),100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC01+1HR,Basic Wall [3709627],,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+1HR,100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC01(F)/1HR,Basic Wall [1100301],,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)/1HR,100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC01(F)+3KB+1T-300x600 (H),Basic Wall [3766737],B2010,Exterior Walls,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01(F)+3KB+1T-300x600 (H),100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC01+3KB+BT (F) 300x600m-WT1931 (v),Basic Wall [1100306],B2020,Exterior Windows,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+BT (F) 300x600m-WT1931 (v),100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC01+3KB+BT (F) 300x600m-WT1931,Basic Wall [5132162],,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+BT (F) 300x600m-WT1931,100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC01+3KB+BT(WT1931),Basic Wall [1100309],,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+BT(WT1931),100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC01+3KB+BT(WT1931),Basic Wall [5174016],,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+3KB+BT(WT1931),100MM THK. ALC PANEL WALL,,
Walls,Basic Wall,LC01+6KB+BT,Basic Wall [1100310],,,600MMX100MMX200MM(H) AAC BLOCK WALL,MCR17,LC01+6KB+BT,100MM THK. ALC PANEL WALL,,
