Family,SubFamily,ObjectGroup,ObjectName,Assembly Code,Assembly Description,Description,Type Comments,Type Name,Structural Material,Material,Category
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall,Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_150mm Thk. PC Non-Structural Wall,TS_PC Wall,,Precision Blockwall
Walls,Basic Wall,TS_150mm Thk. LW Concrete Wall,Basic Wall,,,WALL : 150mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_150mm Thk. LW Concrete Wall,TS_LW Wall (w/ FRS),,Precision Blockwall
Walls,Basic Wall,TS_250mm Thk. PC Parapet Wall (PP1-2),Basic Wall,,,WALL : 250mm Thk. Precast Parapet Wall (Type E),(BS 3.2) Precast Concrete Wall with Skim Coat,TS_250mm Thk. PC Parapet Wall (PP1-2),TS_PC Parapet Wall,,Precision Blockwall
Walls,Basic Wall,TS_150mm Thk. PC Non-Structural Wall (FRS 2hr),Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall with 2hr Fire Rating,,TS_150mm Thk. PC Non-Structural Wall (FRS 2hr),TS_PC Wall (w/ FR),,Precision Blockwall
Walls,Basic Wall,TS_150mm Thk. PC Structural Wall (Hanger),Basic Wall,,,WALL : 150mm Thk. PC Structural Wall (Hanger),"(BS 3.3) Precast Concrete Wall with Plastering, Tile/Stone Finishes",TS_150mm Thk. PC Structural Wall (Hanger),TS_PC Wall,,Precision Blockwall
Walls,Basic Wall,TS_75mm Thk. PC Non-Structural Wall (FRS 2hr),Basic Wall,,,WALL : 150mm Thk. Precast Non-Structural Wall with 2hr Fire Rating,,TS_75mm Thk. PC Non-Structural Wall (FRS 2hr),TS_PC Wall (w/ FR),,Precision Blockwall
Walls,Basic Wall,TS_75mm Thk.Dry Wall,Basic Wall,,,WALL : 100mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_75mm Thk.Dry Wall,TS_LW Wall (w/ FRS),,Precision Blockwall
Walls,Basic Wall,TS_175mm Thk. PC Parapet Wall (PP3-1),Basic Wall,,,WALL : 175mm Thk. Precast Parapet Wall with Coping,(BS 5.2) Cast In-Situ Reinforced Concrete Wall with Skim Coat,TS_175mm Thk. PC Parapet Wall (PP3-1),TS_PC Parapet Wall,,Precision Blockwall
Walls,Basic Wall,TS_300mm Thk. PC Structural Wall,Basic Wall,,,WALL : 300mm Thk. Precast Structural Wall,,TS_300mm Thk. PC Structural Wall,TS_PC Core Wall,,Precision Blockwall
Walls,Basic Wall,TS_150mm Thk. RC Non-Structural Wall (CIS),Basic Wall,,,WALL : 150mm Thk. RC Non-Structural Wall,,TS_150mm Thk. RC Non-Structural Wall (CIS),TS_RC Wall,,Precision Blockwall
Walls,Basic Wall,TS_100mm Thk. PC Non-Structural Wall,Basic Wall,,,WALL : 100mm Thk. Precast Non-Structural Wall,(BS 3.2) Precast Concrete Wall with Skim Coat,TS_100mm Thk. PC Non-Structural Wall,TS_PC Wall,,Precision Blockwall
Walls,Basic Wall,TS_75mm Thk. LW Concrete Wall,Basic Wall,,,WALL : 100mm Thk. Lightweight Precast Concrete Wall with 2hr Fire Rating,,TS_75mm Thk. LW Concrete Wall,TS_LW Wall (w/ FRS),,Precision Blockwall
